Year,Entrant,Song,Language,Value,Measure,Unit,Marker
2012,Loreen,Euphoria,English,1.0,Final Rank,Ordinal,
2013,Robin Stjernberg,You,English,6.0,People on Stage,People,
2013,Robin Stjernberg,You,English,14.0,Final Rank,Ordinal,
2013,Robin Stjernberg,You,English,62.0,Final Points,Points,
2014,Sanna Nielsen,Undo,English,6.0,People on Stage,People,
2014,Sanna Nielsen,Undo,English,3.0,Final Rank,Ordinal,
2014,Sanna Nielsen,Undo,English,218.0,Final Points,Points,
2015,Måns Zelmerlöw,Heroes,English,6.0,People on Stage,People,
2015,Måns Zelmerlöw,Heroes,English,1.0,Final Rank,Ordinal,
2015,Måns Zelmerlöw,Heroes,English,365.0,Final Points,Points,
2016,Frans,If I Were Sorry,English,261.0,Final Points,Points,
2016,Frans,If I Were Sorry,English,2.0,People on Stage,People,
2016,Frans,If I Were Sorry,English,5.0,Final Rank,Ordinal,
2017,Robin Bengtsson,I Can't Go On,English,6.0,People on Stage,People,
2017,Robin Bengtsson,I Can't Go On,English,5.0,Final Rank,Ordinal,
2017,Robin Bengtsson,I Can't Go On,English,344.0,Final Points,Points,
2018,Benjamin Ingrosso,Dance You Off,English,274.0,Final Points,Points,
2018,Benjamin Ingrosso,Dance You Off,English,6.0,People on Stage,People,
2018,Benjamin Ingrosso,Dance You Off,English,7.0,Final Rank,Ordinal,
2019,John Lundvik,Too Late for Love,English,334.0,Final Points,Points,
2019,John Lundvik,Too Late for Love,English,6.0,People on Stage,People,
2019,John Lundvik,Too Late for Love,English,5.0,Final Rank,Ordinal,
2020,The Mamas,Move,English,,People on Stage,People,Contest cancelled
2020,The Mamas,Move,English,,Final Rank,Ordinal,Contest cancelled
2020,The Mamas,Move,English,,Final Points,Points,Contest cancelled
2021,Tusse,Voices,English,109.0,Final Points,Points,
2021,Tusse,Voices,English,14.0,Final Rank,Ordinal,
2021,Tusse,Voices,English,6.0,People on Stage,People,
