Year,Entrant,Song,Language,Value,Measure,Unit,Marker
1958,Alice Babs,Lilla stjärna,Swedish,4.0,Final Rank,Ordinal,
1958,Alice Babs,Lilla stjärna,Swedish,10.0,Final Points,Points,
1958,Alice Babs,Lilla stjärna,Swedish,1.0,People on Stage,People,
1959,Brita Borg,Augustin,Swedish,9.0,Final Rank,Ordinal,
1959,Brita Borg,Augustin,Swedish,4.0,Final Points,Points,
1959,Brita Borg,Augustin,Swedish,1.0,People on Stage,People,
1960,Siw Malmkvist,Alla andra får varann,Swedish,10.0,Final Rank,Ordinal,
1960,Siw Malmkvist,Alla andra får varann,Swedish,4.0,Final Points,Points,
1960,Siw Malmkvist,Alla andra får varann,Swedish,1.0,People on Stage,People,
1961,Lill-Babs,"April,april",Swedish,14.0,Final Rank,Ordinal,
1961,Lill-Babs,"April,april",Swedish,2.0,Final Points,Points,
1961,Lill-Babs,"April,april",Swedish,1.0,People on Stage,People,
1962,Inger Berggren,Sol och vår,Swedish,4.0,Final Points,Points,
1962,Inger Berggren,Sol och vår,Swedish,1.0,People on Stage,People,
1962,Inger Berggren,Sol och vår,Swedish,7.0,Final Rank,Ordinal,
1963,Monica Zetterlund,En gång i Stockholm,Swedish,1.0,People on Stage,People,
1963,Monica Zetterlund,En gång i Stockholm,Swedish,13.0,Final Rank,Ordinal,
1963,Monica Zetterlund,En gång i Stockholm,Swedish,0.0,Final Points,Points,
1965,Ingvar Wixell,Absent Friend,English,1.0,People on Stage,People,
1965,Ingvar Wixell,Absent Friend,English,10.0,Final Rank,Ordinal,
1965,Ingvar Wixell,Absent Friend,English,6.0,Final Points,Points,
1966,Lill Lindfors and Svante Thuresson,Nygammal vals,Swedish,3.0,People on Stage,People,
1966,Lill Lindfors and Svante Thuresson,Nygammal vals,Swedish,2.0,Final Rank,Ordinal,
1966,Lill Lindfors and Svante Thuresson,Nygammal vals,Swedish,16.0,Final Points,Points,
1967,Östen Warnerbring,Som en dröm,Swedish,1.0,People on Stage,People,
1967,Östen Warnerbring,Som en dröm,Swedish,7.0,Final Points,Points,
1967,Östen Warnerbring,Som en dröm,Swedish,8.0,Final Rank,Ordinal,
1968,Claes-Göran Hederström,"Det börjar verka kärlek,banne mig",Swedish,15.0,Final Points,Points,
1968,Claes-Göran Hederström,"Det börjar verka kärlek,banne mig",Swedish,1.0,People on Stage,People,
1968,Claes-Göran Hederström,"Det börjar verka kärlek,banne mig",Swedish,5.0,Final Rank,Ordinal,
1969,Tommy Körberg,"Judy,min vän",Swedish,8.0,Final Points,Points,
1969,Tommy Körberg,"Judy,min vän",Swedish,1.0,People on Stage,People,
1969,Tommy Körberg,"Judy,min vän",Swedish,9.0,Final Rank,Ordinal,
1971,Family Four,Vita vidder,Swedish,85.0,Final Points,Points,
1971,Family Four,Vita vidder,Swedish,4.0,People on Stage,People,
1971,Family Four,Vita vidder,Swedish,6.0,Final Rank,Ordinal,
1972,Family Four,Härliga sommardag,Swedish,4.0,People on Stage,People,
1972,Family Four,Härliga sommardag,Swedish,13.0,Final Rank,Ordinal,
1972,Family Four,Härliga sommardag,Swedish,75.0,Final Points,Points,
1973,The Nova and the Dolls,You're Summer,English,5.0,Final Rank,Ordinal,
1973,The Nova and the Dolls,You're Summer,English,94.0,Final Points,Points,
1973,The Nova and the Dolls,You're Summer,English,5.0,People on Stage,People,
1974,ABBA,Waterloo,English,1.0,Final Rank,Ordinal,
1974,ABBA,Waterloo,English,24.0,Final Points,Points,
1974,ABBA,Waterloo,English,6.0,People on Stage,People,
1975,Lars Berghagen and the Dolls,"Jennie,Jennie",English,72.0,Final Points,Points,
1975,Lars Berghagen and the Dolls,"Jennie,Jennie",English,4.0,People on Stage,People,
1975,Lars Berghagen and the Dolls,"Jennie,Jennie",English,8.0,Final Rank,Ordinal,
1977,Forbes,Beatles,Swedish,6.0,People on Stage,People,
1977,Forbes,Beatles,Swedish,18.0,Final Rank,Ordinal,
1977,Forbes,Beatles,Swedish,2.0,Final Points,Points,
1978,Björn Skifs,Det blir alltid värre framåt natten,Swedish,3.0,People on Stage,People,
1978,Björn Skifs,Det blir alltid värre framåt natten,Swedish,14.0,Final Rank,Ordinal,
1978,Björn Skifs,Det blir alltid värre framåt natten,Swedish,26.0,Final Points,Points,
1979,Ted Gärdestad,Satellit,Swedish,5.0,People on Stage,People,
1979,Ted Gärdestad,Satellit,Swedish,17.0,Final Rank,Ordinal,
1979,Ted Gärdestad,Satellit,Swedish,8.0,Final Points,Points,
1980,Tomas Ledin,Just nu!,Swedish,10.0,Final Rank,Ordinal,
1980,Tomas Ledin,Just nu!,Swedish,47.0,Final Points,Points,
1980,Tomas Ledin,Just nu!,Swedish,5.0,People on Stage,People,
1981,Björn Skifs,Fångad i en dröm,Swedish,50.0,Final Points,Points,
1981,Björn Skifs,Fångad i en dröm,Swedish,6.0,People on Stage,People,
1981,Björn Skifs,Fångad i en dröm,Swedish,10.0,Final Rank,Ordinal,
1982,Chips,Dag efter dag,Swedish,67.0,Final Points,Points,
1982,Chips,Dag efter dag,Swedish,6.0,People on Stage,People,
1982,Chips,Dag efter dag,Swedish,8.0,Final Rank,Ordinal,
1983,Carola,Främling,Swedish,126.0,Final Points,Points,
1983,Carola,Främling,Swedish,5.0,People on Stage,People,
1983,Carola,Främling,Swedish,3.0,Final Rank,Ordinal,
1984,Herreys,Diggi-Loo Diggi-Ley,Swedish,145.0,Final Points,Points,
1984,Herreys,Diggi-Loo Diggi-Ley,Swedish,1.0,Final Rank,Ordinal,
1984,Herreys,Diggi-Loo Diggi-Ley,Swedish,6.0,People on Stage,People,
1985,Kikki Danielsson,Bra vibrationer,Swedish,3.0,Final Rank,Ordinal,
1985,Kikki Danielsson,Bra vibrationer,Swedish,103.0,Final Points,Points,
1985,Kikki Danielsson,Bra vibrationer,Swedish,6.0,People on Stage,People,
1986,Monica Törnell and Lasse Holm,E' de' det här du kallar kärlek?,Swedish,5.0,Final Rank,Ordinal,
1986,Monica Törnell and Lasse Holm,E' de' det här du kallar kärlek?,Swedish,78.0,Final Points,Points,
1986,Monica Törnell and Lasse Holm,E' de' det här du kallar kärlek?,Swedish,6.0,People on Stage,People,
1987,Lotta Engberg,Boogaloo,Swedish,12.0,Final Rank,Ordinal,
1987,Lotta Engberg,Boogaloo,Swedish,50.0,Final Points,Points,
1987,Lotta Engberg,Boogaloo,Swedish,6.0,People on Stage,People,
1988,Tommy Körberg,Stad i ljus,Swedish,52.0,Final Points,Points,
1988,Tommy Körberg,Stad i ljus,Swedish,2.0,People on Stage,People,
1988,Tommy Körberg,Stad i ljus,Swedish,12.0,Final Rank,Ordinal,
1989,Tommy Nilsson,En dag,Swedish,6.0,People on Stage,People,
1989,Tommy Nilsson,En dag,Swedish,4.0,Final Rank,Ordinal,
1989,Tommy Nilsson,En dag,Swedish,110.0,Final Points,Points,
1990,Edin-Ådahl,Som en vind,Swedish,6.0,People on Stage,People,
1990,Edin-Ådahl,Som en vind,Swedish,16.0,Final Rank,Ordinal,
1990,Edin-Ådahl,Som en vind,Swedish,24.0,Final Points,Points,
1991,Carola,Fångad av en stormvind,Swedish,6.0,People on Stage,People,
1991,Carola,Fångad av en stormvind,Swedish,146.0,Final Points,Points,
1991,Carola,Fångad av en stormvind,Swedish,1.0,Final Rank,Ordinal,
1992,Christer Björkman,I morgon är en annan dag,Swedish,9.0,Final Points,Points,
1992,Christer Björkman,I morgon är en annan dag,Swedish,4.0,People on Stage,People,
1992,Christer Björkman,I morgon är en annan dag,Swedish,22.0,Final Rank,Ordinal,
1993,Arvingarna,Eloise,Swedish,89.0,Final Points,Points,
1993,Arvingarna,Eloise,Swedish,6.0,People on Stage,People,
1993,Arvingarna,Eloise,Swedish,7.0,Final Rank,Ordinal,
1994,Marie Bergman and Roger Pontare,Stjärnorna,Swedish,48.0,Final Points,Points,
1994,Marie Bergman and Roger Pontare,Stjärnorna,Swedish,2.0,People on Stage,People,
1994,Marie Bergman and Roger Pontare,Stjärnorna,Swedish,13.0,Final Rank,Ordinal,
1995,Jan Johansen,Se på mej,Swedish,5.0,People on Stage,People,
1995,Jan Johansen,Se på mej,Swedish,3.0,Final Rank,Ordinal,
1995,Jan Johansen,Se på mej,Swedish,100.0,Final Points,Points,
1996,One More Time,Den vilda,Swedish,3.0,Final Rank,Ordinal,
1996,One More Time,Den vilda,Swedish,100.0,Final Points,Points,
1996,One More Time,Den vilda,Swedish,6.0,People on Stage,People,
1997,Blond,Bara hon älskar mig,Swedish,14.0,Final Rank,Ordinal,
1997,Blond,Bara hon älskar mig,Swedish,36.0,Final Points,Points,
1997,Blond,Bara hon älskar mig,Swedish,4.0,People on Stage,People,
1998,Jill Johnson,Kärleken är,Swedish,10.0,Final Rank,Ordinal,
1998,Jill Johnson,Kärleken är,Swedish,53.0,Final Points,Points,
1998,Jill Johnson,Kärleken är,Swedish,3.0,People on Stage,People,
1999,Charlotte Nilsson,Take Me to Your Heaven,English,1.0,Final Rank,Ordinal,
1999,Charlotte Nilsson,Take Me to Your Heaven,English,6.0,People on Stage,People,
1999,Charlotte Nilsson,Take Me to Your Heaven,English,163.0,Final Points,Points,
2000,Roger Pontare,When Spirits Are Calling My Name,English,6.0,People on Stage,People,
2000,Roger Pontare,When Spirits Are Calling My Name,English,7.0,Final Rank,Ordinal,
2000,Roger Pontare,When Spirits Are Calling My Name,English,88.0,Final Points,Points,
2001,Friends,Listen to Your Heartbeat,English,6.0,People on Stage,People,
2001,Friends,Listen to Your Heartbeat,English,5.0,Final Rank,Ordinal,
2001,Friends,Listen to Your Heartbeat,English,100.0,Final Points,Points,
2002,Afro-dite,Never Let It Go,English,6.0,People on Stage,People,
2002,Afro-dite,Never Let It Go,English,8.0,Final Rank,Ordinal,
2002,Afro-dite,Never Let It Go,English,72.0,Final Points,Points,
2003,Fame,Give Me Your Love,English,5.0,Final Rank,Ordinal,
2003,Fame,Give Me Your Love,English,107.0,Final Points,Points,
2003,Fame,Give Me Your Love,English,6.0,People on Stage,People,
2004,Lena Philipsson,It Hurts,English,170.0,Final Points,Points,
2004,Lena Philipsson,It Hurts,English,6.0,People on Stage,People,
2004,Lena Philipsson,It Hurts,English,5.0,Final Rank,Ordinal,
2005,Martin Stenmarck,Las Vegas,English,30.0,Final Points,Points,
2005,Martin Stenmarck,Las Vegas,English,6.0,People on Stage,People,
2005,Martin Stenmarck,Las Vegas,English,19.0,Final Rank,Ordinal,
2006,Carola,Invincible,English,6.0,People on Stage,People,
2006,Carola,Invincible,English,5.0,Final Rank,Ordinal,
2006,Carola,Invincible,English,170.0,Final Points,Points,
2007,The Ark,The Worrying Kind,English,18.0,Final Rank,Ordinal,
2007,The Ark,The Worrying Kind,English,51.0,Final Points,Points,
2007,The Ark,The Worrying Kind,English,6.0,People on Stage,People,
2008,Charlotte Perrelli,Hero,English,18.0,Final Rank,Ordinal,
2008,Charlotte Perrelli,Hero,English,47.0,Final Points,Points,
2008,Charlotte Perrelli,Hero,English,5.0,People on Stage,People,
2009,Malena Ernman,La voix,Multiple,6.0,People on Stage,People,
2009,Malena Ernman,La voix,Multiple,21.0,Final Rank,Ordinal,
2009,Malena Ernman,La voix,Multiple,33.0,Final Points,Points,
2010,Anna Bergendahl,This Is My Life,English,,Final Rank,Ordinal,Did not qualify for final
2010,Anna Bergendahl,This Is My Life,English,,Final Points,Points,Did not qualify for final
2010,Anna Bergendahl,This Is My Life,English,6.0,People on Stage,People,
2011,Eric Saade,Popular,English,3.0,Final Rank,Ordinal,
2011,Eric Saade,Popular,English,185.0,Final Points,Points,
2011,Eric Saade,Popular,English,6.0,People on Stage,People,
2012,Loreen,Euphoria,English,372.0,Final Points,Points,
2012,Loreen,Euphoria,English,6.0,People on Stage,People,
