Year,Entrant,Song,Language,Value,Measure,Unit,Marker
1958,alice-babs,lilla-stjarna,swedish,4.0,final-rank,ordinal,
1958,alice-babs,lilla-stjarna,swedish,10.0,final-points,points,
1958,alice-babs,lilla-stjarna,swedish,1.0,people-on-stage,people,
1959,brita-borg,augustin,swedish,9.0,final-rank,ordinal,
1959,brita-borg,augustin,swedish,4.0,final-points,points,
1959,brita-borg,augustin,swedish,1.0,people-on-stage,people,
1960,siw-malmkvist,alla-andra-far-varann,swedish,10.0,final-rank,ordinal,
1960,siw-malmkvist,alla-andra-far-varann,swedish,4.0,final-points,points,
1960,siw-malmkvist,alla-andra-far-varann,swedish,1.0,people-on-stage,people,
1961,lill-babs,april-april,swedish,14.0,final-rank,ordinal,
1961,lill-babs,april-april,swedish,2.0,final-points,points,
1961,lill-babs,april-april,swedish,1.0,people-on-stage,people,
1962,inger-berggren,sol-och-var,swedish,4.0,final-points,points,
1962,inger-berggren,sol-och-var,swedish,1.0,people-on-stage,people,
1962,inger-berggren,sol-och-var,swedish,7.0,final-rank,ordinal,
1963,monica-zetterlund,en-gang-i-stockholm,swedish,1.0,people-on-stage,people,
1963,monica-zetterlund,en-gang-i-stockholm,swedish,13.0,final-rank,ordinal,
1963,monica-zetterlund,en-gang-i-stockholm,swedish,0.0,final-points,points,
1965,ingvar-wixell,absent-friend,english,1.0,people-on-stage,people,
1965,ingvar-wixell,absent-friend,english,10.0,final-rank,ordinal,
1965,ingvar-wixell,absent-friend,english,6.0,final-points,points,
1966,lill-lindfors-and-svante-thuresson,nygammal-vals,swedish,3.0,people-on-stage,people,
1966,lill-lindfors-and-svante-thuresson,nygammal-vals,swedish,2.0,final-rank,ordinal,
1966,lill-lindfors-and-svante-thuresson,nygammal-vals,swedish,16.0,final-points,points,
1967,osten-warnerbring,som-en-drom,swedish,1.0,people-on-stage,people,
1967,osten-warnerbring,som-en-drom,swedish,7.0,final-points,points,
1967,osten-warnerbring,som-en-drom,swedish,8.0,final-rank,ordinal,
1968,claes-goran-hederstrom,det-borjar-verka-karlek-banne-mig,swedish,15.0,final-points,points,
1968,claes-goran-hederstrom,det-borjar-verka-karlek-banne-mig,swedish,1.0,people-on-stage,people,
1968,claes-goran-hederstrom,det-borjar-verka-karlek-banne-mig,swedish,5.0,final-rank,ordinal,
1969,tommy-korberg,judy-min-van,swedish,8.0,final-points,points,
1969,tommy-korberg,judy-min-van,swedish,1.0,people-on-stage,people,
1969,tommy-korberg,judy-min-van,swedish,9.0,final-rank,ordinal,
1971,family-four,vita-vidder,swedish,85.0,final-points,points,
1971,family-four,vita-vidder,swedish,4.0,people-on-stage,people,
1971,family-four,vita-vidder,swedish,6.0,final-rank,ordinal,
1972,family-four,harliga-sommardag,swedish,4.0,people-on-stage,people,
1972,family-four,harliga-sommardag,swedish,13.0,final-rank,ordinal,
1972,family-four,harliga-sommardag,swedish,75.0,final-points,points,
1973,the-nova-and-the-dolls,you-re-summer,english,5.0,final-rank,ordinal,
1973,the-nova-and-the-dolls,you-re-summer,english,94.0,final-points,points,
1973,the-nova-and-the-dolls,you-re-summer,english,5.0,people-on-stage,people,
1974,abba,waterloo,english,1.0,final-rank,ordinal,
1974,abba,waterloo,english,24.0,final-points,points,
1974,abba,waterloo,english,6.0,people-on-stage,people,
1975,lars-berghagen-and-the-dolls,jennie-jennie,english,72.0,final-points,points,
1975,lars-berghagen-and-the-dolls,jennie-jennie,english,4.0,people-on-stage,people,
1975,lars-berghagen-and-the-dolls,jennie-jennie,english,8.0,final-rank,ordinal,
1977,forbes,beatles,swedish,6.0,people-on-stage,people,
1977,forbes,beatles,swedish,18.0,final-rank,ordinal,
1977,forbes,beatles,swedish,2.0,final-points,points,
1978,bjorn-skifs,det-blir-alltid-varre-framat-natten,swedish,3.0,people-on-stage,people,
1978,bjorn-skifs,det-blir-alltid-varre-framat-natten,swedish,14.0,final-rank,ordinal,
1978,bjorn-skifs,det-blir-alltid-varre-framat-natten,swedish,26.0,final-points,points,
1979,ted-gardestad,satellit,swedish,5.0,people-on-stage,people,
1979,ted-gardestad,satellit,swedish,17.0,final-rank,ordinal,
1979,ted-gardestad,satellit,swedish,8.0,final-points,points,
1980,tomas-ledin,just-nu,swedish,10.0,final-rank,ordinal,
1980,tomas-ledin,just-nu,swedish,47.0,final-points,points,
1980,tomas-ledin,just-nu,swedish,5.0,people-on-stage,people,
1981,bjorn-skifs,fangad-i-en-drom,swedish,50.0,final-points,points,
1981,bjorn-skifs,fangad-i-en-drom,swedish,6.0,people-on-stage,people,
1981,bjorn-skifs,fangad-i-en-drom,swedish,10.0,final-rank,ordinal,
1982,chips,dag-efter-dag,swedish,67.0,final-points,points,
1982,chips,dag-efter-dag,swedish,6.0,people-on-stage,people,
1982,chips,dag-efter-dag,swedish,8.0,final-rank,ordinal,
1983,carola,framling,swedish,126.0,final-points,points,
1983,carola,framling,swedish,5.0,people-on-stage,people,
1983,carola,framling,swedish,3.0,final-rank,ordinal,
1984,herreys,diggi-loo-diggi-ley,swedish,145.0,final-points,points,
1984,herreys,diggi-loo-diggi-ley,swedish,1.0,final-rank,ordinal,
1984,herreys,diggi-loo-diggi-ley,swedish,6.0,people-on-stage,people,
1985,kikki-danielsson,bra-vibrationer,swedish,3.0,final-rank,ordinal,
1985,kikki-danielsson,bra-vibrationer,swedish,103.0,final-points,points,
1985,kikki-danielsson,bra-vibrationer,swedish,6.0,people-on-stage,people,
1986,monica-tornell-and-lasse-holm,e-de-det-har-du-kallar-karlek,swedish,5.0,final-rank,ordinal,
1986,monica-tornell-and-lasse-holm,e-de-det-har-du-kallar-karlek,swedish,78.0,final-points,points,
1986,monica-tornell-and-lasse-holm,e-de-det-har-du-kallar-karlek,swedish,6.0,people-on-stage,people,
1987,lotta-engberg,boogaloo,swedish,12.0,final-rank,ordinal,
1987,lotta-engberg,boogaloo,swedish,50.0,final-points,points,
1987,lotta-engberg,boogaloo,swedish,6.0,people-on-stage,people,
1988,tommy-korberg,stad-i-ljus,swedish,52.0,final-points,points,
1988,tommy-korberg,stad-i-ljus,swedish,2.0,people-on-stage,people,
1988,tommy-korberg,stad-i-ljus,swedish,12.0,final-rank,ordinal,
1989,tommy-nilsson,en-dag,swedish,6.0,people-on-stage,people,
1989,tommy-nilsson,en-dag,swedish,4.0,final-rank,ordinal,
1989,tommy-nilsson,en-dag,swedish,110.0,final-points,points,
1990,edin-adahl,som-en-vind,swedish,6.0,people-on-stage,people,
1990,edin-adahl,som-en-vind,swedish,16.0,final-rank,ordinal,
1990,edin-adahl,som-en-vind,swedish,24.0,final-points,points,
1991,carola,fangad-av-en-stormvind,swedish,6.0,people-on-stage,people,
1991,carola,fangad-av-en-stormvind,swedish,146.0,final-points,points,
1991,carola,fangad-av-en-stormvind,swedish,1.0,final-rank,ordinal,
1992,christer-bjorkman,i-morgon-ar-en-annan-dag,swedish,9.0,final-points,points,
1992,christer-bjorkman,i-morgon-ar-en-annan-dag,swedish,4.0,people-on-stage,people,
1992,christer-bjorkman,i-morgon-ar-en-annan-dag,swedish,22.0,final-rank,ordinal,
1993,arvingarna,eloise,swedish,89.0,final-points,points,
1993,arvingarna,eloise,swedish,6.0,people-on-stage,people,
1993,arvingarna,eloise,swedish,7.0,final-rank,ordinal,
1994,marie-bergman-and-roger-pontare,stjarnorna,swedish,48.0,final-points,points,
1994,marie-bergman-and-roger-pontare,stjarnorna,swedish,2.0,people-on-stage,people,
1994,marie-bergman-and-roger-pontare,stjarnorna,swedish,13.0,final-rank,ordinal,
1995,jan-johansen,se-pa-mej,swedish,5.0,people-on-stage,people,
1995,jan-johansen,se-pa-mej,swedish,3.0,final-rank,ordinal,
1995,jan-johansen,se-pa-mej,swedish,100.0,final-points,points,
1996,one-more-time,den-vilda,swedish,3.0,final-rank,ordinal,
1996,one-more-time,den-vilda,swedish,100.0,final-points,points,
1996,one-more-time,den-vilda,swedish,6.0,people-on-stage,people,
1997,blond,bara-hon-alskar-mig,swedish,14.0,final-rank,ordinal,
1997,blond,bara-hon-alskar-mig,swedish,36.0,final-points,points,
1997,blond,bara-hon-alskar-mig,swedish,4.0,people-on-stage,people,
1998,jill-johnson,karleken-ar,swedish,10.0,final-rank,ordinal,
1998,jill-johnson,karleken-ar,swedish,53.0,final-points,points,
1998,jill-johnson,karleken-ar,swedish,3.0,people-on-stage,people,
1999,charlotte-nilsson,take-me-to-your-heaven,english,1.0,final-rank,ordinal,
1999,charlotte-nilsson,take-me-to-your-heaven,english,6.0,people-on-stage,people,
1999,charlotte-nilsson,take-me-to-your-heaven,english,163.0,final-points,points,
2000,roger-pontare,when-spirits-are-calling-my-name,english,6.0,people-on-stage,people,
2000,roger-pontare,when-spirits-are-calling-my-name,english,7.0,final-rank,ordinal,
2000,roger-pontare,when-spirits-are-calling-my-name,english,88.0,final-points,points,
2001,friends,listen-to-your-heartbeat,english,6.0,people-on-stage,people,
2001,friends,listen-to-your-heartbeat,english,5.0,final-rank,ordinal,
2001,friends,listen-to-your-heartbeat,english,100.0,final-points,points,
2002,afro-dite,never-let-it-go,english,6.0,people-on-stage,people,
2002,afro-dite,never-let-it-go,english,8.0,final-rank,ordinal,
2002,afro-dite,never-let-it-go,english,72.0,final-points,points,
2003,fame,give-me-your-love,english,5.0,final-rank,ordinal,
2003,fame,give-me-your-love,english,107.0,final-points,points,
2003,fame,give-me-your-love,english,6.0,people-on-stage,people,
2004,lena-philipsson,it-hurts,english,170.0,final-points,points,
2004,lena-philipsson,it-hurts,english,6.0,people-on-stage,people,
2004,lena-philipsson,it-hurts,english,5.0,final-rank,ordinal,
2005,martin-stenmarck,las-vegas,english,30.0,final-points,points,
2005,martin-stenmarck,las-vegas,english,6.0,people-on-stage,people,
2005,martin-stenmarck,las-vegas,english,19.0,final-rank,ordinal,
2006,carola,invincible,english,6.0,people-on-stage,people,
2006,carola,invincible,english,5.0,final-rank,ordinal,
2006,carola,invincible,english,170.0,final-points,points,
2007,the-ark,the-worrying-kind,english,18.0,final-rank,ordinal,
2007,the-ark,the-worrying-kind,english,51.0,final-points,points,
2007,the-ark,the-worrying-kind,english,6.0,people-on-stage,people,
2008,charlotte-perrelli,hero,english,18.0,final-rank,ordinal,
2008,charlotte-perrelli,hero,english,47.0,final-points,points,
2008,charlotte-perrelli,hero,english,5.0,people-on-stage,people,
2009,malena-ernman,la-voix,multiple,6.0,people-on-stage,people,
2009,malena-ernman,la-voix,multiple,21.0,final-rank,ordinal,
2009,malena-ernman,la-voix,multiple,33.0,final-points,points,
2010,anna-bergendahl,this-is-my-life,english,,final-rank,ordinal,did-not-qualify-for-final
2010,anna-bergendahl,this-is-my-life,english,,final-points,points,did-not-qualify-for-final
2010,anna-bergendahl,this-is-my-life,english,6.0,people-on-stage,people,
2011,eric-saade,popular,english,3.0,final-rank,ordinal,
2011,eric-saade,popular,english,185.0,final-points,points,
2011,eric-saade,popular,english,6.0,people-on-stage,people,
2012,loreen,euphoria,english,372.0,final-points,points,
2012,loreen,euphoria,english,6.0,people-on-stage,people,
2012,loreen,euphoria,english,1.0,final-rank,ordinal,
2013,robin-stjernberg,you,english,6.0,people-on-stage,people,
2013,robin-stjernberg,you,english,14.0,final-rank,ordinal,
2013,robin-stjernberg,you,english,62.0,final-points,points,
2014,sanna-nielsen,undo,english,6.0,people-on-stage,people,
2014,sanna-nielsen,undo,english,3.0,final-rank,ordinal,
2014,sanna-nielsen,undo,english,218.0,final-points,points,
