Label,Notation,Parent Notation,Sort Priority,Description
Accommodation And Food Service Activities,accommodation-and-food-service-activities,,0,
Administrative And Support Service Activities,administrative-and-support-service-activities,,1,
"Agriculture, Forestry And Fishing",agriculture-forestry-and-fishing,,2,
All industries,all-industries,,3,
Construction,construction,,4,
"Electricity, Gas, Steam And Air Conditioning Supply",electricity-gas-steam-and-air-conditioning-supply,,5,
Information And Communication,information-and-communication,,6,
Manufacturing,manufacturing,,7,
Mining And Quarrying,mining-and-quarrying,,8,
Others,others,,9,
"Professional, Scientific And Technical Activities",professional-scientific-and-technical-activities,,10,
Real Estate Activities,real-estate-activities,,11,
Transportation And Storage,transportation-and-storage,,12,
"Water Supply; Sewerage, Waste Management And Remediation Activities",water-supply-sewerage-waste-management-and-remediation-activities,,13,
Wholesale And Retail Trade; Repair Of Motor Vehicles And Motorcycles,wholesale-and-retail-trade-repair-of-motor-vehicles-and-motorcycles,,14,
