Label,Notation,Parent Notation,Sort Priority,Description
Africa Other,africa-other,,0,
Africa Total,africa-total,,1,
All countries,all-countries,,2,
Argentina,argentina,,3,
Asia Other,asia-other,,4,
Asia Total,asia-total,,5,
Australia,australia,,6,
Austria,austria,,7,
Bahrain,bahrain,,8,
Belgium,belgium,,9,
Brazil,brazil,,10,
Bulgaria,bulgaria,,11,
Canada,canada,,12,
Central and South America Other,central-and-south-america-other,,13,
Central and South America Total,central-and-south-america-total,,14,
Chile,chile,,15,
China,china,,16,
Croatia,croatia,,17,
Cyprus,cyprus,,18,
Czech Republic,czech-republic,,19,
Denmark,denmark,,20,
Eastern Europe,eastern-europe,,21,
Egypt,egypt,,22,
Estonia,estonia,,23,
Europe Other,europe-other,,24,
Exports (outside UK),exports-outside-uk,,25,
External Sales (outside NI),external-sales-outside-ni,,26,
Finland,finland,,27,
France,france,,28,
Germany,germany,,29,
Great Britain,great-britain,,30,
Greece,greece,,31,
Hong Kong,hong-kong,,32,
Hungary,hungary,,33,
Imports (outside UK),imports-outside-uk,,34,
India,india,,35,
Indonesia,indonesia,,36,
Ireland,ireland,,37,
Israel,israel,,38,
Italy,italy,,39,
Japan,japan,,40,
Jordan,jordan,,41,
Kuwait,kuwait,,42,
Latvia,latvia,,43,
Lebanon,lebanon,,44,
Lithuania,lithuania,,45,
Luxembourg,luxembourg,,46,
Malaysia,malaysia,,47,
Malta,malta,,48,
Mexico,mexico,,49,
Middle East Other,middle-east-other,,50,
Middle East Total,middle-east-total,,51,
Netherlands,netherlands,,52,
New Zealand,new-zealand,,53,
North America Other,north-america-other,,54,
North America Total,north-america-total,,55,
Northern Ireland,northern-ireland,,56,
Norway,norway,,57,
Oman,oman,,58,
Philipines,philipines,,59,
Poland,poland,,60,
Portugal,portugal,,61,
Qatar,qatar,,62,
Rest of World Other,rest-of-world-other,,63,
Rest of the Europe Union (EU excluding Ireland),rest-of-the-europe-union-eu-excluding-ireland,,64,
Rest of the World (all countries outside the UK and EU),rest-of-the-world-all-countries-outside-the-uk-and-eu,,65,
Romania,romania,,66,
Russia,russia,,67,
Saudi Arabia,saudi-arabia,,68,
Singapore,singapore,,69,
Slovakia,slovakia,,70,
Slovenia,slovenia,,71,
South Africa,south-africa,,72,
South Korea,south-korea,,73,
Spain,spain,,74,
Sweden,sweden,,75,
Switzerland,switzerland,,76,
Syria,syria,,77,
Taiwan,taiwan,,78,
Thailand,thailand,,79,
Turkey,turkey,,80,
UAE,uae,,81,
USA,usa,,82,
Vietnam,vietnam,,83,
