Label,Notation,Parent Notation,Sort Priority,Description,Original Concept URI
1884-01,1884-01,,0,,http://reference.data.gov.uk/id/month/1884-01
1884-02,1884-02,,1,,http://reference.data.gov.uk/id/month/1884-02
1884-03,1884-03,,2,,http://reference.data.gov.uk/id/month/1884-03
1884-04,1884-04,,3,,http://reference.data.gov.uk/id/month/1884-04
1884-05,1884-05,,4,,http://reference.data.gov.uk/id/month/1884-05
1884-06,1884-06,,5,,http://reference.data.gov.uk/id/month/1884-06
1884-07,1884-07,,6,,http://reference.data.gov.uk/id/month/1884-07
1884-08,1884-08,,7,,http://reference.data.gov.uk/id/month/1884-08
1884-09,1884-09,,8,,http://reference.data.gov.uk/id/month/1884-09
1884-10,1884-10,,9,,http://reference.data.gov.uk/id/month/1884-10
1884-11,1884-11,,10,,http://reference.data.gov.uk/id/month/1884-11
1884-12,1884-12,,11,,http://reference.data.gov.uk/id/month/1884-12
1885-01,1885-01,,12,,http://reference.data.gov.uk/id/month/1885-01
1885-02,1885-02,,13,,http://reference.data.gov.uk/id/month/1885-02
1885-03,1885-03,,14,,http://reference.data.gov.uk/id/month/1885-03
1885-04,1885-04,,15,,http://reference.data.gov.uk/id/month/1885-04
1885-05,1885-05,,16,,http://reference.data.gov.uk/id/month/1885-05
1885-06,1885-06,,17,,http://reference.data.gov.uk/id/month/1885-06
1885-07,1885-07,,18,,http://reference.data.gov.uk/id/month/1885-07
1885-08,1885-08,,19,,http://reference.data.gov.uk/id/month/1885-08
1885-09,1885-09,,20,,http://reference.data.gov.uk/id/month/1885-09
1885-10,1885-10,,21,,http://reference.data.gov.uk/id/month/1885-10
1885-11,1885-11,,22,,http://reference.data.gov.uk/id/month/1885-11
1885-12,1885-12,,23,,http://reference.data.gov.uk/id/month/1885-12
1886-01,1886-01,,24,,http://reference.data.gov.uk/id/month/1886-01
1886-02,1886-02,,25,,http://reference.data.gov.uk/id/month/1886-02
1886-03,1886-03,,26,,http://reference.data.gov.uk/id/month/1886-03
1886-04,1886-04,,27,,http://reference.data.gov.uk/id/month/1886-04
1886-05,1886-05,,28,,http://reference.data.gov.uk/id/month/1886-05
1886-06,1886-06,,29,,http://reference.data.gov.uk/id/month/1886-06
1886-07,1886-07,,30,,http://reference.data.gov.uk/id/month/1886-07
1886-08,1886-08,,31,,http://reference.data.gov.uk/id/month/1886-08
1886-09,1886-09,,32,,http://reference.data.gov.uk/id/month/1886-09
1886-10,1886-10,,33,,http://reference.data.gov.uk/id/month/1886-10
1886-11,1886-11,,34,,http://reference.data.gov.uk/id/month/1886-11
1886-12,1886-12,,35,,http://reference.data.gov.uk/id/month/1886-12
1887-01,1887-01,,36,,http://reference.data.gov.uk/id/month/1887-01
1887-02,1887-02,,37,,http://reference.data.gov.uk/id/month/1887-02
