Label,Notation,Parent Notation,Sort Priority,Description,Original Concept URI
1887-03,1887-03,,38,,http://reference.data.gov.uk/id/month/1887-03
1887-04,1887-04,,39,,http://reference.data.gov.uk/id/month/1887-04
1887-05,1887-05,,40,,http://reference.data.gov.uk/id/month/1887-05
1887-06,1887-06,,41,,http://reference.data.gov.uk/id/month/1887-06
1887-07,1887-07,,42,,http://reference.data.gov.uk/id/month/1887-07
1887-08,1887-08,,43,,http://reference.data.gov.uk/id/month/1887-08
1887-09,1887-09,,44,,http://reference.data.gov.uk/id/month/1887-09
1887-10,1887-10,,45,,http://reference.data.gov.uk/id/month/1887-10
1887-11,1887-11,,46,,http://reference.data.gov.uk/id/month/1887-11
1887-12,1887-12,,47,,http://reference.data.gov.uk/id/month/1887-12
1888-01,1888-01,,48,,http://reference.data.gov.uk/id/month/1888-01
1888-02,1888-02,,49,,http://reference.data.gov.uk/id/month/1888-02
1888-03,1888-03,,50,,http://reference.data.gov.uk/id/month/1888-03
1888-04,1888-04,,51,,http://reference.data.gov.uk/id/month/1888-04
1888-05,1888-05,,52,,http://reference.data.gov.uk/id/month/1888-05
1888-06,1888-06,,53,,http://reference.data.gov.uk/id/month/1888-06
1888-07,1888-07,,54,,http://reference.data.gov.uk/id/month/1888-07
1888-08,1888-08,,55,,http://reference.data.gov.uk/id/month/1888-08
1888-09,1888-09,,56,,http://reference.data.gov.uk/id/month/1888-09
1888-10,1888-10,,57,,http://reference.data.gov.uk/id/month/1888-10
1888-11,1888-11,,58,,http://reference.data.gov.uk/id/month/1888-11
1888-12,1888-12,,59,,http://reference.data.gov.uk/id/month/1888-12
1889-01,1889-01,,60,,http://reference.data.gov.uk/id/month/1889-01
1889-02,1889-02,,61,,http://reference.data.gov.uk/id/month/1889-02
1889-03,1889-03,,62,,http://reference.data.gov.uk/id/month/1889-03
1889-04,1889-04,,63,,http://reference.data.gov.uk/id/month/1889-04
1889-05,1889-05,,64,,http://reference.data.gov.uk/id/month/1889-05
1889-06,1889-06,,65,,http://reference.data.gov.uk/id/month/1889-06
1889-07,1889-07,,66,,http://reference.data.gov.uk/id/month/1889-07
1889-08,1889-08,,67,,http://reference.data.gov.uk/id/month/1889-08
1889-09,1889-09,,68,,http://reference.data.gov.uk/id/month/1889-09
1889-10,1889-10,,69,,http://reference.data.gov.uk/id/month/1889-10
1889-11,1889-11,,70,,http://reference.data.gov.uk/id/month/1889-11
1889-12,1889-12,,71,,http://reference.data.gov.uk/id/month/1889-12
1890-01,1890-01,,72,,http://reference.data.gov.uk/id/month/1890-01
1890-02,1890-02,,73,,http://reference.data.gov.uk/id/month/1890-02
1890-03,1890-03,,74,,http://reference.data.gov.uk/id/month/1890-03
1890-04,1890-04,,75,,http://reference.data.gov.uk/id/month/1890-04
1890-05,1890-05,,76,,http://reference.data.gov.uk/id/month/1890-05
1890-06,1890-06,,77,,http://reference.data.gov.uk/id/month/1890-06
1890-07,1890-07,,78,,http://reference.data.gov.uk/id/month/1890-07
1890-08,1890-08,,79,,http://reference.data.gov.uk/id/month/1890-08
1890-09,1890-09,,80,,http://reference.data.gov.uk/id/month/1890-09
1890-10,1890-10,,81,,http://reference.data.gov.uk/id/month/1890-10
1890-11,1890-11,,82,,http://reference.data.gov.uk/id/month/1890-11
1890-12,1890-12,,83,,http://reference.data.gov.uk/id/month/1890-12
1891-01,1891-01,,84,,http://reference.data.gov.uk/id/month/1891-01
1891-02,1891-02,,85,,http://reference.data.gov.uk/id/month/1891-02
1891-03,1891-03,,86,,http://reference.data.gov.uk/id/month/1891-03
1891-04,1891-04,,87,,http://reference.data.gov.uk/id/month/1891-04
1891-05,1891-05,,88,,http://reference.data.gov.uk/id/month/1891-05
1891-06,1891-06,,89,,http://reference.data.gov.uk/id/month/1891-06
1891-07,1891-07,,90,,http://reference.data.gov.uk/id/month/1891-07
1891-08,1891-08,,91,,http://reference.data.gov.uk/id/month/1891-08
1891-09,1891-09,,92,,http://reference.data.gov.uk/id/month/1891-09
1891-10,1891-10,,93,,http://reference.data.gov.uk/id/month/1891-10
1891-11,1891-11,,94,,http://reference.data.gov.uk/id/month/1891-11
1891-12,1891-12,,95,,http://reference.data.gov.uk/id/month/1891-12
1892-01,1892-01,,96,,http://reference.data.gov.uk/id/month/1892-01
1892-02,1892-02,,97,,http://reference.data.gov.uk/id/month/1892-02
1892-03,1892-03,,98,,http://reference.data.gov.uk/id/month/1892-03
1892-04,1892-04,,99,,http://reference.data.gov.uk/id/month/1892-04
1892-05,1892-05,,100,,http://reference.data.gov.uk/id/month/1892-05
1892-06,1892-06,,101,,http://reference.data.gov.uk/id/month/1892-06
1892-07,1892-07,,102,,http://reference.data.gov.uk/id/month/1892-07
1892-08,1892-08,,103,,http://reference.data.gov.uk/id/month/1892-08
1892-09,1892-09,,104,,http://reference.data.gov.uk/id/month/1892-09
1892-10,1892-10,,105,,http://reference.data.gov.uk/id/month/1892-10
1892-11,1892-11,,106,,http://reference.data.gov.uk/id/month/1892-11
1892-12,1892-12,,107,,http://reference.data.gov.uk/id/month/1892-12
1893-01,1893-01,,108,,http://reference.data.gov.uk/id/month/1893-01
1893-02,1893-02,,109,,http://reference.data.gov.uk/id/month/1893-02
1893-03,1893-03,,110,,http://reference.data.gov.uk/id/month/1893-03
1893-04,1893-04,,111,,http://reference.data.gov.uk/id/month/1893-04
1893-05,1893-05,,112,,http://reference.data.gov.uk/id/month/1893-05
1893-06,1893-06,,113,,http://reference.data.gov.uk/id/month/1893-06
1893-07,1893-07,,114,,http://reference.data.gov.uk/id/month/1893-07
1893-08,1893-08,,115,,http://reference.data.gov.uk/id/month/1893-08
1893-09,1893-09,,116,,http://reference.data.gov.uk/id/month/1893-09
1893-10,1893-10,,117,,http://reference.data.gov.uk/id/month/1893-10
1893-11,1893-11,,118,,http://reference.data.gov.uk/id/month/1893-11
1893-12,1893-12,,119,,http://reference.data.gov.uk/id/month/1893-12
1894-01,1894-01,,120,,http://reference.data.gov.uk/id/month/1894-01
1894-02,1894-02,,121,,http://reference.data.gov.uk/id/month/1894-02
1894-03,1894-03,,122,,http://reference.data.gov.uk/id/month/1894-03
1894-04,1894-04,,123,,http://reference.data.gov.uk/id/month/1894-04
1894-05,1894-05,,124,,http://reference.data.gov.uk/id/month/1894-05
1894-06,1894-06,,125,,http://reference.data.gov.uk/id/month/1894-06
1894-07,1894-07,,126,,http://reference.data.gov.uk/id/month/1894-07
1894-08,1894-08,,127,,http://reference.data.gov.uk/id/month/1894-08
1894-09,1894-09,,128,,http://reference.data.gov.uk/id/month/1894-09
1894-10,1894-10,,129,,http://reference.data.gov.uk/id/month/1894-10
1894-11,1894-11,,130,,http://reference.data.gov.uk/id/month/1894-11
1894-12,1894-12,,131,,http://reference.data.gov.uk/id/month/1894-12
1895-01,1895-01,,132,,http://reference.data.gov.uk/id/month/1895-01
1895-02,1895-02,,133,,http://reference.data.gov.uk/id/month/1895-02
1895-03,1895-03,,134,,http://reference.data.gov.uk/id/month/1895-03
1895-04,1895-04,,135,,http://reference.data.gov.uk/id/month/1895-04
1895-05,1895-05,,136,,http://reference.data.gov.uk/id/month/1895-05
1895-06,1895-06,,137,,http://reference.data.gov.uk/id/month/1895-06
1895-07,1895-07,,138,,http://reference.data.gov.uk/id/month/1895-07
1895-08,1895-08,,139,,http://reference.data.gov.uk/id/month/1895-08
1895-09,1895-09,,140,,http://reference.data.gov.uk/id/month/1895-09
1895-10,1895-10,,141,,http://reference.data.gov.uk/id/month/1895-10
1895-11,1895-11,,142,,http://reference.data.gov.uk/id/month/1895-11
1895-12,1895-12,,143,,http://reference.data.gov.uk/id/month/1895-12
1896-01,1896-01,,144,,http://reference.data.gov.uk/id/month/1896-01
1896-02,1896-02,,145,,http://reference.data.gov.uk/id/month/1896-02
1896-03,1896-03,,146,,http://reference.data.gov.uk/id/month/1896-03
1896-04,1896-04,,147,,http://reference.data.gov.uk/id/month/1896-04
1896-05,1896-05,,148,,http://reference.data.gov.uk/id/month/1896-05
1896-06,1896-06,,149,,http://reference.data.gov.uk/id/month/1896-06
1896-07,1896-07,,150,,http://reference.data.gov.uk/id/month/1896-07
1896-08,1896-08,,151,,http://reference.data.gov.uk/id/month/1896-08
1896-09,1896-09,,152,,http://reference.data.gov.uk/id/month/1896-09
1896-10,1896-10,,153,,http://reference.data.gov.uk/id/month/1896-10
1896-11,1896-11,,154,,http://reference.data.gov.uk/id/month/1896-11
1896-12,1896-12,,155,,http://reference.data.gov.uk/id/month/1896-12
1897-01,1897-01,,156,,http://reference.data.gov.uk/id/month/1897-01
1897-02,1897-02,,157,,http://reference.data.gov.uk/id/month/1897-02
1897-03,1897-03,,158,,http://reference.data.gov.uk/id/month/1897-03
1897-04,1897-04,,159,,http://reference.data.gov.uk/id/month/1897-04
1897-05,1897-05,,160,,http://reference.data.gov.uk/id/month/1897-05
1897-06,1897-06,,161,,http://reference.data.gov.uk/id/month/1897-06
1897-07,1897-07,,162,,http://reference.data.gov.uk/id/month/1897-07
1897-08,1897-08,,163,,http://reference.data.gov.uk/id/month/1897-08
1897-09,1897-09,,164,,http://reference.data.gov.uk/id/month/1897-09
1897-10,1897-10,,165,,http://reference.data.gov.uk/id/month/1897-10
1897-11,1897-11,,166,,http://reference.data.gov.uk/id/month/1897-11
1897-12,1897-12,,167,,http://reference.data.gov.uk/id/month/1897-12
1898-01,1898-01,,168,,http://reference.data.gov.uk/id/month/1898-01
1898-02,1898-02,,169,,http://reference.data.gov.uk/id/month/1898-02
1898-03,1898-03,,170,,http://reference.data.gov.uk/id/month/1898-03
1898-04,1898-04,,171,,http://reference.data.gov.uk/id/month/1898-04
1898-05,1898-05,,172,,http://reference.data.gov.uk/id/month/1898-05
1898-06,1898-06,,173,,http://reference.data.gov.uk/id/month/1898-06
1898-07,1898-07,,174,,http://reference.data.gov.uk/id/month/1898-07
1898-08,1898-08,,175,,http://reference.data.gov.uk/id/month/1898-08
1898-09,1898-09,,176,,http://reference.data.gov.uk/id/month/1898-09
1898-10,1898-10,,177,,http://reference.data.gov.uk/id/month/1898-10
1898-11,1898-11,,178,,http://reference.data.gov.uk/id/month/1898-11
1898-12,1898-12,,179,,http://reference.data.gov.uk/id/month/1898-12
1899-01,1899-01,,180,,http://reference.data.gov.uk/id/month/1899-01
1899-02,1899-02,,181,,http://reference.data.gov.uk/id/month/1899-02
1899-03,1899-03,,182,,http://reference.data.gov.uk/id/month/1899-03
1899-04,1899-04,,183,,http://reference.data.gov.uk/id/month/1899-04
1899-05,1899-05,,184,,http://reference.data.gov.uk/id/month/1899-05
1899-06,1899-06,,185,,http://reference.data.gov.uk/id/month/1899-06
1899-07,1899-07,,186,,http://reference.data.gov.uk/id/month/1899-07
1899-08,1899-08,,187,,http://reference.data.gov.uk/id/month/1899-08
1899-09,1899-09,,188,,http://reference.data.gov.uk/id/month/1899-09
1899-10,1899-10,,189,,http://reference.data.gov.uk/id/month/1899-10
1899-11,1899-11,,190,,http://reference.data.gov.uk/id/month/1899-11
1899-12,1899-12,,191,,http://reference.data.gov.uk/id/month/1899-12
1900-01,1900-01,,192,,http://reference.data.gov.uk/id/month/1900-01
1900-02,1900-02,,193,,http://reference.data.gov.uk/id/month/1900-02
1900-03,1900-03,,194,,http://reference.data.gov.uk/id/month/1900-03
1900-04,1900-04,,195,,http://reference.data.gov.uk/id/month/1900-04
1900-05,1900-05,,196,,http://reference.data.gov.uk/id/month/1900-05
1900-06,1900-06,,197,,http://reference.data.gov.uk/id/month/1900-06
1900-07,1900-07,,198,,http://reference.data.gov.uk/id/month/1900-07
1900-08,1900-08,,199,,http://reference.data.gov.uk/id/month/1900-08
1900-09,1900-09,,200,,http://reference.data.gov.uk/id/month/1900-09
1900-10,1900-10,,201,,http://reference.data.gov.uk/id/month/1900-10
1900-11,1900-11,,202,,http://reference.data.gov.uk/id/month/1900-11
1900-12,1900-12,,203,,http://reference.data.gov.uk/id/month/1900-12
1901-01,1901-01,,204,,http://reference.data.gov.uk/id/month/1901-01
1901-02,1901-02,,205,,http://reference.data.gov.uk/id/month/1901-02
1901-03,1901-03,,206,,http://reference.data.gov.uk/id/month/1901-03
1901-04,1901-04,,207,,http://reference.data.gov.uk/id/month/1901-04
1901-05,1901-05,,208,,http://reference.data.gov.uk/id/month/1901-05
1901-06,1901-06,,209,,http://reference.data.gov.uk/id/month/1901-06
1901-07,1901-07,,210,,http://reference.data.gov.uk/id/month/1901-07
1901-08,1901-08,,211,,http://reference.data.gov.uk/id/month/1901-08
1901-09,1901-09,,212,,http://reference.data.gov.uk/id/month/1901-09
1901-10,1901-10,,213,,http://reference.data.gov.uk/id/month/1901-10
1901-11,1901-11,,214,,http://reference.data.gov.uk/id/month/1901-11
1901-12,1901-12,,215,,http://reference.data.gov.uk/id/month/1901-12
1902-01,1902-01,,216,,http://reference.data.gov.uk/id/month/1902-01
1902-02,1902-02,,217,,http://reference.data.gov.uk/id/month/1902-02
1902-03,1902-03,,218,,http://reference.data.gov.uk/id/month/1902-03
1902-04,1902-04,,219,,http://reference.data.gov.uk/id/month/1902-04
1902-05,1902-05,,220,,http://reference.data.gov.uk/id/month/1902-05
1902-06,1902-06,,221,,http://reference.data.gov.uk/id/month/1902-06
1902-07,1902-07,,222,,http://reference.data.gov.uk/id/month/1902-07
1902-08,1902-08,,223,,http://reference.data.gov.uk/id/month/1902-08
1902-09,1902-09,,224,,http://reference.data.gov.uk/id/month/1902-09
1902-10,1902-10,,225,,http://reference.data.gov.uk/id/month/1902-10
1902-11,1902-11,,226,,http://reference.data.gov.uk/id/month/1902-11
1902-12,1902-12,,227,,http://reference.data.gov.uk/id/month/1902-12
1903-01,1903-01,,228,,http://reference.data.gov.uk/id/month/1903-01
1903-02,1903-02,,229,,http://reference.data.gov.uk/id/month/1903-02
1903-03,1903-03,,230,,http://reference.data.gov.uk/id/month/1903-03
1903-04,1903-04,,231,,http://reference.data.gov.uk/id/month/1903-04
1903-05,1903-05,,232,,http://reference.data.gov.uk/id/month/1903-05
1903-06,1903-06,,233,,http://reference.data.gov.uk/id/month/1903-06
1903-07,1903-07,,234,,http://reference.data.gov.uk/id/month/1903-07
1903-08,1903-08,,235,,http://reference.data.gov.uk/id/month/1903-08
1903-09,1903-09,,236,,http://reference.data.gov.uk/id/month/1903-09
1903-10,1903-10,,237,,http://reference.data.gov.uk/id/month/1903-10
1903-11,1903-11,,238,,http://reference.data.gov.uk/id/month/1903-11
1903-12,1903-12,,239,,http://reference.data.gov.uk/id/month/1903-12
1904-01,1904-01,,240,,http://reference.data.gov.uk/id/month/1904-01
1904-02,1904-02,,241,,http://reference.data.gov.uk/id/month/1904-02
1904-03,1904-03,,242,,http://reference.data.gov.uk/id/month/1904-03
1904-04,1904-04,,243,,http://reference.data.gov.uk/id/month/1904-04
1904-05,1904-05,,244,,http://reference.data.gov.uk/id/month/1904-05
1904-06,1904-06,,245,,http://reference.data.gov.uk/id/month/1904-06
1904-07,1904-07,,246,,http://reference.data.gov.uk/id/month/1904-07
1904-08,1904-08,,247,,http://reference.data.gov.uk/id/month/1904-08
1904-09,1904-09,,248,,http://reference.data.gov.uk/id/month/1904-09
1904-10,1904-10,,249,,http://reference.data.gov.uk/id/month/1904-10
1904-11,1904-11,,250,,http://reference.data.gov.uk/id/month/1904-11
1904-12,1904-12,,251,,http://reference.data.gov.uk/id/month/1904-12
1905-01,1905-01,,252,,http://reference.data.gov.uk/id/month/1905-01
1905-02,1905-02,,253,,http://reference.data.gov.uk/id/month/1905-02
1905-03,1905-03,,254,,http://reference.data.gov.uk/id/month/1905-03
1905-04,1905-04,,255,,http://reference.data.gov.uk/id/month/1905-04
1905-05,1905-05,,256,,http://reference.data.gov.uk/id/month/1905-05
1905-06,1905-06,,257,,http://reference.data.gov.uk/id/month/1905-06
1905-07,1905-07,,258,,http://reference.data.gov.uk/id/month/1905-07
1905-08,1905-08,,259,,http://reference.data.gov.uk/id/month/1905-08
1905-09,1905-09,,260,,http://reference.data.gov.uk/id/month/1905-09
1905-10,1905-10,,261,,http://reference.data.gov.uk/id/month/1905-10
1905-11,1905-11,,262,,http://reference.data.gov.uk/id/month/1905-11
1905-12,1905-12,,263,,http://reference.data.gov.uk/id/month/1905-12
1906-01,1906-01,,264,,http://reference.data.gov.uk/id/month/1906-01
1906-02,1906-02,,265,,http://reference.data.gov.uk/id/month/1906-02
1906-03,1906-03,,266,,http://reference.data.gov.uk/id/month/1906-03
1906-04,1906-04,,267,,http://reference.data.gov.uk/id/month/1906-04
1906-05,1906-05,,268,,http://reference.data.gov.uk/id/month/1906-05
1906-06,1906-06,,269,,http://reference.data.gov.uk/id/month/1906-06
1906-07,1906-07,,270,,http://reference.data.gov.uk/id/month/1906-07
1906-08,1906-08,,271,,http://reference.data.gov.uk/id/month/1906-08
1906-09,1906-09,,272,,http://reference.data.gov.uk/id/month/1906-09
1906-10,1906-10,,273,,http://reference.data.gov.uk/id/month/1906-10
1906-11,1906-11,,274,,http://reference.data.gov.uk/id/month/1906-11
1906-12,1906-12,,275,,http://reference.data.gov.uk/id/month/1906-12
1907-01,1907-01,,276,,http://reference.data.gov.uk/id/month/1907-01
1907-02,1907-02,,277,,http://reference.data.gov.uk/id/month/1907-02
1907-03,1907-03,,278,,http://reference.data.gov.uk/id/month/1907-03
1907-04,1907-04,,279,,http://reference.data.gov.uk/id/month/1907-04
1907-05,1907-05,,280,,http://reference.data.gov.uk/id/month/1907-05
1907-06,1907-06,,281,,http://reference.data.gov.uk/id/month/1907-06
1907-07,1907-07,,282,,http://reference.data.gov.uk/id/month/1907-07
1907-08,1907-08,,283,,http://reference.data.gov.uk/id/month/1907-08
1907-09,1907-09,,284,,http://reference.data.gov.uk/id/month/1907-09
1907-10,1907-10,,285,,http://reference.data.gov.uk/id/month/1907-10
1907-11,1907-11,,286,,http://reference.data.gov.uk/id/month/1907-11
1907-12,1907-12,,287,,http://reference.data.gov.uk/id/month/1907-12
1908-01,1908-01,,288,,http://reference.data.gov.uk/id/month/1908-01
1908-02,1908-02,,289,,http://reference.data.gov.uk/id/month/1908-02
1908-03,1908-03,,290,,http://reference.data.gov.uk/id/month/1908-03
1908-04,1908-04,,291,,http://reference.data.gov.uk/id/month/1908-04
1908-05,1908-05,,292,,http://reference.data.gov.uk/id/month/1908-05
1908-06,1908-06,,293,,http://reference.data.gov.uk/id/month/1908-06
1908-07,1908-07,,294,,http://reference.data.gov.uk/id/month/1908-07
1908-08,1908-08,,295,,http://reference.data.gov.uk/id/month/1908-08
1908-09,1908-09,,296,,http://reference.data.gov.uk/id/month/1908-09
1908-10,1908-10,,297,,http://reference.data.gov.uk/id/month/1908-10
1908-11,1908-11,,298,,http://reference.data.gov.uk/id/month/1908-11
1908-12,1908-12,,299,,http://reference.data.gov.uk/id/month/1908-12
1909-01,1909-01,,300,,http://reference.data.gov.uk/id/month/1909-01
1909-02,1909-02,,301,,http://reference.data.gov.uk/id/month/1909-02
1909-03,1909-03,,302,,http://reference.data.gov.uk/id/month/1909-03
1909-04,1909-04,,303,,http://reference.data.gov.uk/id/month/1909-04
1909-05,1909-05,,304,,http://reference.data.gov.uk/id/month/1909-05
1909-06,1909-06,,305,,http://reference.data.gov.uk/id/month/1909-06
1909-07,1909-07,,306,,http://reference.data.gov.uk/id/month/1909-07
1909-08,1909-08,,307,,http://reference.data.gov.uk/id/month/1909-08
1909-09,1909-09,,308,,http://reference.data.gov.uk/id/month/1909-09
1909-10,1909-10,,309,,http://reference.data.gov.uk/id/month/1909-10
1909-11,1909-11,,310,,http://reference.data.gov.uk/id/month/1909-11
1909-12,1909-12,,311,,http://reference.data.gov.uk/id/month/1909-12
1910-01,1910-01,,312,,http://reference.data.gov.uk/id/month/1910-01
1910-02,1910-02,,313,,http://reference.data.gov.uk/id/month/1910-02
1910-03,1910-03,,314,,http://reference.data.gov.uk/id/month/1910-03
1910-04,1910-04,,315,,http://reference.data.gov.uk/id/month/1910-04
1910-05,1910-05,,316,,http://reference.data.gov.uk/id/month/1910-05
1910-06,1910-06,,317,,http://reference.data.gov.uk/id/month/1910-06
1910-07,1910-07,,318,,http://reference.data.gov.uk/id/month/1910-07
1910-08,1910-08,,319,,http://reference.data.gov.uk/id/month/1910-08
1910-09,1910-09,,320,,http://reference.data.gov.uk/id/month/1910-09
1910-10,1910-10,,321,,http://reference.data.gov.uk/id/month/1910-10
1910-11,1910-11,,322,,http://reference.data.gov.uk/id/month/1910-11
1910-12,1910-12,,323,,http://reference.data.gov.uk/id/month/1910-12
1911-01,1911-01,,324,,http://reference.data.gov.uk/id/month/1911-01
1911-02,1911-02,,325,,http://reference.data.gov.uk/id/month/1911-02
1911-03,1911-03,,326,,http://reference.data.gov.uk/id/month/1911-03
1911-04,1911-04,,327,,http://reference.data.gov.uk/id/month/1911-04
1911-05,1911-05,,328,,http://reference.data.gov.uk/id/month/1911-05
1911-06,1911-06,,329,,http://reference.data.gov.uk/id/month/1911-06
1911-07,1911-07,,330,,http://reference.data.gov.uk/id/month/1911-07
1911-08,1911-08,,331,,http://reference.data.gov.uk/id/month/1911-08
1911-09,1911-09,,332,,http://reference.data.gov.uk/id/month/1911-09
1911-10,1911-10,,333,,http://reference.data.gov.uk/id/month/1911-10
1911-11,1911-11,,334,,http://reference.data.gov.uk/id/month/1911-11
1911-12,1911-12,,335,,http://reference.data.gov.uk/id/month/1911-12
1912-01,1912-01,,336,,http://reference.data.gov.uk/id/month/1912-01
1912-02,1912-02,,337,,http://reference.data.gov.uk/id/month/1912-02
1912-03,1912-03,,338,,http://reference.data.gov.uk/id/month/1912-03
1912-04,1912-04,,339,,http://reference.data.gov.uk/id/month/1912-04
1912-05,1912-05,,340,,http://reference.data.gov.uk/id/month/1912-05
1912-06,1912-06,,341,,http://reference.data.gov.uk/id/month/1912-06
1912-07,1912-07,,342,,http://reference.data.gov.uk/id/month/1912-07
1912-08,1912-08,,343,,http://reference.data.gov.uk/id/month/1912-08
1912-09,1912-09,,344,,http://reference.data.gov.uk/id/month/1912-09
1912-10,1912-10,,345,,http://reference.data.gov.uk/id/month/1912-10
1912-11,1912-11,,346,,http://reference.data.gov.uk/id/month/1912-11
1912-12,1912-12,,347,,http://reference.data.gov.uk/id/month/1912-12
1913-01,1913-01,,348,,http://reference.data.gov.uk/id/month/1913-01
1913-02,1913-02,,349,,http://reference.data.gov.uk/id/month/1913-02
1913-03,1913-03,,350,,http://reference.data.gov.uk/id/month/1913-03
1913-04,1913-04,,351,,http://reference.data.gov.uk/id/month/1913-04
1913-05,1913-05,,352,,http://reference.data.gov.uk/id/month/1913-05
1913-06,1913-06,,353,,http://reference.data.gov.uk/id/month/1913-06
1913-07,1913-07,,354,,http://reference.data.gov.uk/id/month/1913-07
1913-08,1913-08,,355,,http://reference.data.gov.uk/id/month/1913-08
1913-09,1913-09,,356,,http://reference.data.gov.uk/id/month/1913-09
1913-10,1913-10,,357,,http://reference.data.gov.uk/id/month/1913-10
1913-11,1913-11,,358,,http://reference.data.gov.uk/id/month/1913-11
1913-12,1913-12,,359,,http://reference.data.gov.uk/id/month/1913-12
1914-01,1914-01,,360,,http://reference.data.gov.uk/id/month/1914-01
1914-02,1914-02,,361,,http://reference.data.gov.uk/id/month/1914-02
1914-03,1914-03,,362,,http://reference.data.gov.uk/id/month/1914-03
1914-04,1914-04,,363,,http://reference.data.gov.uk/id/month/1914-04
1914-05,1914-05,,364,,http://reference.data.gov.uk/id/month/1914-05
1914-06,1914-06,,365,,http://reference.data.gov.uk/id/month/1914-06
1914-07,1914-07,,366,,http://reference.data.gov.uk/id/month/1914-07
1914-08,1914-08,,367,,http://reference.data.gov.uk/id/month/1914-08
1914-09,1914-09,,368,,http://reference.data.gov.uk/id/month/1914-09
1914-10,1914-10,,369,,http://reference.data.gov.uk/id/month/1914-10
1914-11,1914-11,,370,,http://reference.data.gov.uk/id/month/1914-11
1914-12,1914-12,,371,,http://reference.data.gov.uk/id/month/1914-12
1915-01,1915-01,,372,,http://reference.data.gov.uk/id/month/1915-01
1915-02,1915-02,,373,,http://reference.data.gov.uk/id/month/1915-02
1915-03,1915-03,,374,,http://reference.data.gov.uk/id/month/1915-03
1915-04,1915-04,,375,,http://reference.data.gov.uk/id/month/1915-04
1915-05,1915-05,,376,,http://reference.data.gov.uk/id/month/1915-05
1915-06,1915-06,,377,,http://reference.data.gov.uk/id/month/1915-06
1915-07,1915-07,,378,,http://reference.data.gov.uk/id/month/1915-07
1915-08,1915-08,,379,,http://reference.data.gov.uk/id/month/1915-08
1915-09,1915-09,,380,,http://reference.data.gov.uk/id/month/1915-09
1915-10,1915-10,,381,,http://reference.data.gov.uk/id/month/1915-10
1915-11,1915-11,,382,,http://reference.data.gov.uk/id/month/1915-11
1915-12,1915-12,,383,,http://reference.data.gov.uk/id/month/1915-12
1916-01,1916-01,,384,,http://reference.data.gov.uk/id/month/1916-01
1916-02,1916-02,,385,,http://reference.data.gov.uk/id/month/1916-02
1916-03,1916-03,,386,,http://reference.data.gov.uk/id/month/1916-03
