Month,Geography,Value
1896-09,east-scotland,13.11646
1896-10,east-scotland,7.54619
1896-11,east-scotland,6.5027
1896-12,east-scotland,4.47702
1897-01,east-scotland,2.09348
1897-02,east-scotland,5.60234
1897-03,east-scotland,5.9602
1897-04,east-scotland,8.0566
1897-05,east-scotland,11.47315
1897-06,east-scotland,14.94159
1897-07,east-scotland,18.08598
1897-08,east-scotland,17.72582
1897-09,east-scotland,13.57076
1897-10,east-scotland,11.53176
1897-11,east-scotland,8.18319
1897-12,east-scotland,5.20937
1898-01,east-scotland,7.46724
1898-02,east-scotland,4.86465
1898-03,east-scotland,6.10593
1898-04,east-scotland,9.83943
1898-05,east-scotland,11.42138
1898-06,east-scotland,15.82762
1898-07,east-scotland,17.65525
1898-08,east-scotland,17.12371
1898-09,east-scotland,16.5633
1898-10,east-scotland,11.74675
1898-11,east-scotland,7.21605
1898-12,east-scotland,7.43316
1899-01,east-scotland,3.7363
1899-02,east-scotland,5.59773
1899-03,east-scotland,6.69796
1899-04,east-scotland,8.60556
1899-05,east-scotland,10.85343
1899-06,east-scotland,17.73365
1899-07,east-scotland,17.82578
1899-08,east-scotland,19.15705
1899-09,east-scotland,13.62183
1899-10,east-scotland,11.37995
1899-11,east-scotland,9.52876
1899-12,east-scotland,2.9618
1900-01,east-scotland,4.36802
1900-02,east-scotland,1.83876
1900-03,east-scotland,4.75676
1900-04,east-scotland,10.2635
1900-05,east-scotland,11.94012
1900-06,east-scotland,15.69677
1900-07,east-scotland,17.52209
1900-08,east-scotland,15.45414
1900-09,east-scotland,14.98116
1900-10,east-scotland,9.48003
1900-11,east-scotland,6.67906
1900-12,east-scotland,7.23842
1901-01,east-scotland,4.15653
1901-02,east-scotland,3.46367
1901-03,east-scotland,5.30865
1901-04,east-scotland,10.28336
1901-05,east-scotland,14.49181
1901-06,east-scotland,15.53871
1901-07,east-scotland,20.01891
1901-08,east-scotland,17.23509
1901-09,east-scotland,14.91199
1901-10,east-scotland,10.24816
1901-11,east-scotland,7.08101
1901-12,east-scotland,3.39183
1902-01,east-scotland,4.59658
1902-02,east-scotland,2.32415
1902-03,east-scotland,7.46011
1902-04,east-scotland,9.44326
1902-05,east-scotland,9.94322
1902-06,east-scotland,14.37589
1902-07,east-scotland,15.1853
1902-08,east-scotland,14.87982
1902-09,east-scotland,13.88828
1902-10,east-scotland,10.29751
1902-11,east-scotland,7.96007
1902-12,east-scotland,4.92495
1903-01,east-scotland,3.57165
1903-02,east-scotland,7.02108
1903-03,east-scotland,6.76022
1903-04,east-scotland,7.75237
1903-05,east-scotland,12.12093
1903-06,east-scotland,15.0089
1903-07,east-scotland,15.90276
1903-08,east-scotland,15.14842
1903-09,east-scotland,13.90086
1903-10,east-scotland,9.87577
1903-11,east-scotland,6.83768
1903-12,east-scotland,3.4663
1904-01,east-scotland,4.90068
1904-02,east-scotland,3.00539
1904-03,east-scotland,5.33234
1904-04,east-scotland,10.02556
1904-05,east-scotland,11.77876
1904-06,east-scotland,15.39291
1904-07,east-scotland,16.87596
1904-08,east-scotland,16.38736
1904-09,east-scotland,14.2423
1904-10,east-scotland,11.04005
1904-11,east-scotland,6.47976
1904-12,east-scotland,4.86982
1905-01,east-scotland,5.68531
1905-02,east-scotland,5.79811
1905-03,east-scotland,7.467
1905-04,east-scotland,7.78932
1905-05,east-scotland,13.22252
1905-06,east-scotland,16.92438
1905-07,east-scotland,18.92648
1905-08,east-scotland,15.89289
1905-09,east-scotland,13.97789
1905-10,east-scotland,8.92417
1905-11,east-scotland,5.73553
1905-12,east-scotland,6.83979
1906-01,east-scotland,5.51964
1906-02,east-scotland,3.93852
1906-03,east-scotland,5.87513
1906-04,east-scotland,10.37707
1906-05,east-scotland,10.72147
1906-06,east-scotland,17.07952
1906-07,east-scotland,17.15978
1906-08,east-scotland,17.254
1906-09,east-scotland,16.51724
1906-10,east-scotland,11.1388
1906-11,east-scotland,8.21457
1906-12,east-scotland,4.37691
1907-01,east-scotland,4.92036
1907-02,east-scotland,4.64037
1907-03,east-scotland,8.52926
1907-04,east-scotland,9.05627
1907-05,east-scotland,10.9129
1907-06,east-scotland,13.46738
1907-07,east-scotland,15.5089
1907-08,east-scotland,14.8166
1907-09,east-scotland,15.66049
1907-10,east-scotland,10.30678
1907-11,east-scotland,6.91877
1907-12,east-scotland,4.46687
1908-01,east-scotland,4.47147
1908-02,east-scotland,6.16652
1908-03,east-scotland,4.78783
1908-04,east-scotland,7.32708
1908-05,east-scotland,13.50515
1908-06,east-scotland,16.1954
1908-07,east-scotland,16.85292
1908-08,east-scotland,16.30735
1908-09,east-scotland,13.72272
1908-10,east-scotland,13.4698
1908-11,east-scotland,8.10381
1908-12,east-scotland,5.43991
1909-01,east-scotland,4.70927
1909-02,east-scotland,4.89957
1909-03,east-scotland,3.57191
1909-04,east-scotland,10.07489
1909-05,east-scotland,12.71287
1909-06,east-scotland,14.39499
1909-07,east-scotland,16.3939
1909-08,east-scotland,16.87391
1909-09,east-scotland,13.19843
1909-10,east-scotland,10.49762
1909-11,east-scotland,6.14799
1909-12,east-scotland,3.60453
1910-01,east-scotland,3.57057
1910-02,east-scotland,4.79072
1910-03,east-scotland,7.91911
1910-04,east-scotland,8.10245
1910-05,east-scotland,12.68781
1910-06,east-scotland,16.16293
1910-07,east-scotland,15.73302
1910-08,east-scotland,16.16212
1910-09,east-scotland,14.34755
1910-10,east-scotland,11.35818
1910-11,east-scotland,3.71124
1910-12,east-scotland,6.19864
1911-01,east-scotland,5.34921
1911-02,east-scotland,5.73978
1911-03,east-scotland,5.56601
1911-04,east-scotland,9.21265
1911-05,east-scotland,15.097
1911-06,east-scotland,16.70704
1911-07,east-scotland,19.06627
1911-08,east-scotland,18.32729
1911-09,east-scotland,14.96789
1911-10,east-scotland,9.61895
1911-11,east-scotland,6.1155
1911-12,east-scotland,5.93425
1912-01,east-scotland,3.73916
1912-02,east-scotland,4.93123
1912-03,east-scotland,7.7416
1912-04,east-scotland,11.3304
1912-05,east-scotland,13.25649
1912-06,east-scotland,14.17033
1912-07,east-scotland,16.71511
1912-08,east-scotland,13.73187
1912-09,east-scotland,12.83131
1912-10,east-scotland,9.7982
1912-11,east-scotland,6.61346
1912-12,east-scotland,6.25917
1913-01,east-scotland,3.729
1913-02,east-scotland,5.74826
1913-03,east-scotland,6.41148
1913-04,east-scotland,9.35432
1913-05,east-scotland,12.37897
1913-06,east-scotland,16.15069
1913-07,east-scotland,17.25793
1913-08,east-scotland,17.59842
1913-09,east-scotland,14.38457
1913-10,east-scotland,11.55232
1913-11,east-scotland,8.59957
1913-12,east-scotland,5.34106
1914-01,east-scotland,4.56397
1914-02,east-scotland,7.07221
1914-03,east-scotland,6.26817
1914-04,east-scotland,12.51897
1914-05,east-scotland,12.81236
1914-06,east-scotland,17.07279
1914-07,east-scotland,17.63368
1914-08,east-scotland,17.42835
1914-09,east-scotland,15.06479
1914-10,east-scotland,11.58576
1914-11,east-scotland,7.32827
1914-12,east-scotland,4.16391
1915-01,east-scotland,3.89028
1915-02,east-scotland,4.26363
1915-03,east-scotland,6.6395
1915-04,east-scotland,9.99144
1915-05,east-scotland,12.06965
1915-06,east-scotland,16.5194
1915-07,east-scotland,16.41566
1915-08,east-scotland,16.5698
1915-09,east-scotland,14.5559
1915-10,east-scotland,10.27855
1915-11,east-scotland,4.25928
1915-12,east-scotland,3.70343
1916-01,east-scotland,7.91032
1916-02,east-scotland,3.85625
1916-03,east-scotland,3.1993
1916-04,east-scotland,9.45221
1916-05,east-scotland,12.0916
1916-06,east-scotland,13.45156
1916-07,east-scotland,16.7402
1916-08,east-scotland,17.22709
1916-09,east-scotland,14.18682
1916-10,east-scotland,10.48647
1916-11,east-scotland,7.83327
1916-12,east-scotland,3.81345
1917-01,east-scotland,2.24014
1917-02,east-scotland,3.51742
1917-03,east-scotland,4.50251
1917-04,east-scotland,6.94831
1917-05,east-scotland,12.8679
1917-06,east-scotland,15.99378
1917-07,east-scotland,18.05922
1917-08,east-scotland,16.65447
1917-09,east-scotland,14.92355
1917-10,east-scotland,8.11535
1917-11,east-scotland,8.54256
1917-12,east-scotland,3.91602
1918-01,east-scotland,3.58344
1918-02,east-scotland,6.66911
1918-03,east-scotland,6.73463
1918-04,east-scotland,8.55093
1918-05,east-scotland,14.08333
1918-06,east-scotland,15.71859
1918-07,east-scotland,16.95485
1918-08,east-scotland,16.73141
1918-09,east-scotland,11.88517
1918-10,east-scotland,10.24167
1918-11,east-scotland,6.39914
1918-12,east-scotland,5.80301
1919-01,east-scotland,3.54272
1919-02,east-scotland,2.4592
1919-03,east-scotland,3.87451
1919-04,east-scotland,9.23441
1919-05,east-scotland,14.54658
1919-06,east-scotland,15.67066
1919-07,east-scotland,16.75418
1919-08,east-scotland,16.92107
1919-09,east-scotland,14.2424
1919-10,east-scotland,9.81805
1919-11,east-scotland,3.27742
1919-12,east-scotland,4.48024
1920-01,east-scotland,4.6876
1920-02,east-scotland,6.94871
1920-03,east-scotland,7.48603
1920-04,east-scotland,8.39579
1920-05,east-scotland,12.94241
1920-06,east-scotland,16.00699
1920-07,east-scotland,15.21637
1920-08,east-scotland,15.25321
1920-09,east-scotland,13.98092
1920-10,east-scotland,11.37009
1920-11,east-scotland,8.33851
1920-12,east-scotland,4.62751
1921-01,east-scotland,6.57367
1921-02,east-scotland,6.31749
1921-03,east-scotland,7.42688
1921-04,east-scotland,10.79333
1921-05,east-scotland,13.46816
1921-06,east-scotland,16.75553
1921-07,east-scotland,18.46423
1921-08,east-scotland,15.2496
1921-09,east-scotland,14.87113
1921-10,east-scotland,13.20314
1921-11,east-scotland,5.68574
1921-12,east-scotland,7.49925
1922-01,east-scotland,3.2857
1922-02,east-scotland,4.50495
1922-03,east-scotland,6.19595
1922-04,east-scotland,7.38065
1922-05,east-scotland,13.40477
1922-06,east-scotland,15.10916
1922-07,east-scotland,14.88513
1922-08,east-scotland,14.62599
1922-09,east-scotland,13.12144
1922-10,east-scotland,9.8301
1922-11,east-scotland,7.48034
1922-12,east-scotland,5.89498
1923-01,east-scotland,6.87913
1923-02,east-scotland,4.25393
1923-03,east-scotland,7.57419
1923-04,east-scotland,7.53957
1923-05,east-scotland,10.13069
1923-06,east-scotland,14.68244
1923-07,east-scotland,17.66039
1923-08,east-scotland,15.65696
1923-09,east-scotland,13.20578
1923-10,east-scotland,9.97293
1923-11,east-scotland,4.42443
1923-12,east-scotland,4.10523
1924-01,east-scotland,4.94566
1924-02,east-scotland,4.64668
1924-03,east-scotland,5.01955
1924-04,east-scotland,8.67408
1924-05,east-scotland,10.92954
1924-06,east-scotland,14.77363
1924-07,east-scotland,16.19592
1924-08,east-scotland,15.21476
1924-09,east-scotland,13.64209
1924-10,east-scotland,10.44678
1924-11,east-scotland,7.76476
1924-12,east-scotland,7.57906
1925-01,east-scotland,5.67774
1925-02,east-scotland,4.61201
1925-03,east-scotland,6.15364
1925-04,east-scotland,8.49956
1925-05,east-scotland,12.04782
1925-06,east-scotland,17.01301
1925-07,east-scotland,18.35911
1925-08,east-scotland,16.92289
1925-09,east-scotland,12.54833
1925-10,east-scotland,11.21481
1925-11,east-scotland,4.73023
1925-12,east-scotland,2.94679
1926-01,east-scotland,5.04548
1926-02,east-scotland,5.88057
1926-03,east-scotland,7.42168
1926-04,east-scotland,10.59077
1926-05,east-scotland,11.40671
1926-06,east-scotland,15.26785
1926-07,east-scotland,18.36734
1926-08,east-scotland,17.50438
1926-09,east-scotland,14.96487
1926-10,east-scotland,8.40764
1926-11,east-scotland,6.10232
1926-12,east-scotland,5.74969
1927-01,east-scotland,4.9573
1927-02,east-scotland,5.75698
1927-03,east-scotland,7.9372
1927-04,east-scotland,8.93803
1927-05,east-scotland,11.09062
1927-06,east-scotland,13.10204
1927-07,east-scotland,17.29919
1927-08,east-scotland,16.75281
1927-09,east-scotland,12.83945
1927-10,east-scotland,11.12319
1927-11,east-scotland,6.38403
1927-12,east-scotland,2.14783
1928-01,east-scotland,5.44312
1928-02,east-scotland,6.07106
1928-03,east-scotland,5.38917
1928-04,east-scotland,9.05519
1928-05,east-scotland,11.92466
1928-06,east-scotland,13.20593
1928-07,east-scotland,16.25437
1928-08,east-scotland,15.98613
1928-09,east-scotland,13.74671
1928-10,east-scotland,10.43232
1928-11,east-scotland,7.84818
1928-12,east-scotland,4.48104
1929-01,east-scotland,2.5657
1929-02,east-scotland,1.84758
1929-03,east-scotland,9.85463
1929-04,east-scotland,7.88785
1929-05,east-scotland,13.09324
1929-06,east-scotland,15.01325
1929-07,east-scotland,16.91158
1929-08,east-scotland,15.83244
1929-09,east-scotland,15.77308
1929-10,east-scotland,9.78801
1929-11,east-scotland,7.02515
1929-12,east-scotland,5.51252
1930-01,east-scotland,4.96206
1930-02,east-scotland,2.95381
1930-03,east-scotland,5.52275
1930-04,east-scotland,8.96155
1930-05,east-scotland,12.17594
1930-06,east-scotland,17.17687
1930-07,east-scotland,16.47341
1930-08,east-scotland,16.54932
1930-09,east-scotland,13.83468
1930-10,east-scotland,10.48838
1930-11,east-scotland,6.07633
1930-12,east-scotland,5.04981
1931-01,east-scotland,3.83087
1931-02,east-scotland,4.01778
1931-03,east-scotland,4.58736
1931-04,east-scotland,8.91813
1931-05,east-scotland,12.80609
1931-06,east-scotland,13.96626
1931-07,east-scotland,16.14649
1931-08,east-scotland,15.25224
1931-09,east-scotland,13.27438
1931-10,east-scotland,10.4634
1931-11,east-scotland,7.90469
1931-12,east-scotland,6.68561
1932-01,east-scotland,7.59525
1932-02,east-scotland,6.11401
1932-03,east-scotland,6.42947
1932-04,east-scotland,7.96643
1932-05,east-scotland,11.34658
1932-06,east-scotland,15.95742
1932-07,east-scotland,16.88988
1932-08,east-scotland,17.32966
1932-09,east-scotland,13.79293
1932-10,east-scotland,8.83264
1932-11,east-scotland,6.74105
1932-12,east-scotland,6.29835
1933-01,east-scotland,3.49483
1933-02,east-scotland,4.83243
1933-03,east-scotland,8.97734
1933-04,east-scotland,10.60028
1933-05,east-scotland,12.65415
1933-06,east-scotland,18.09
1933-07,east-scotland,19.60395
1933-08,east-scotland,18.48874
1933-09,east-scotland,16.29841
1933-10,east-scotland,10.67139
1933-11,east-scotland,6.57949
1933-12,east-scotland,4.32366
1934-01,east-scotland,6.22815
1934-02,east-scotland,7.36178
1934-03,east-scotland,6.0964
1934-04,east-scotland,8.29342
1934-05,east-scotland,12.8158
1934-06,east-scotland,16.57677
1934-07,east-scotland,19.61763
1934-08,east-scotland,16.36037
1934-09,east-scotland,15.28803
1934-10,east-scotland,10.65643
1934-11,east-scotland,6.82909
1934-12,east-scotland,7.01392
1935-01,east-scotland,5.61312
1935-02,east-scotland,5.65678
1935-03,east-scotland,7.86395
1935-04,east-scotland,8.5859
1935-05,east-scotland,11.99176
1935-06,east-scotland,15.27854
1935-07,east-scotland,18.45684
1935-08,east-scotland,18.07305
1935-09,east-scotland,13.75919
1935-10,east-scotland,9.55955
1935-11,east-scotland,6.73429
1935-12,east-scotland,3.02327
1936-01,east-scotland,3.02945
1936-02,east-scotland,3.25883
1936-03,east-scotland,6.80968
1936-04,east-scotland,8.42845
1936-05,east-scotland,12.90462
1936-06,east-scotland,16.87278
1936-07,east-scotland,17.08534
1936-08,east-scotland,17.94028
1936-09,east-scotland,14.92593
1936-10,east-scotland,10.83455
1936-11,east-scotland,6.45803
1936-12,east-scotland,5.93935
1937-01,east-scotland,5.37615
1937-02,east-scotland,4.15591
1937-03,east-scotland,3.42775
1937-04,east-scotland,9.6781
1937-05,east-scotland,13.74692
1937-06,east-scotland,15.72919
1937-07,east-scotland,17.07687
1937-08,east-scotland,17.49013
1937-09,east-scotland,14.34178
1937-10,east-scotland,10.94913
1937-11,east-scotland,6.80801
1937-12,east-scotland,3.08503
1938-01,east-scotland,5.82934
1938-02,east-scotland,6.05817
1938-03,east-scotland,10.49193
1938-04,east-scotland,10.60422
1938-05,east-scotland,12.12205
1938-06,east-scotland,15.19291
1938-07,east-scotland,16.41612
1938-08,east-scotland,17.28397
1938-09,east-scotland,15.02598
1938-10,east-scotland,10.99801
1938-11,east-scotland,8.45625
1938-12,east-scotland,4.95623
1939-01,east-scotland,3.54675
1939-02,east-scotland,6.62617
1939-03,east-scotland,7.15558
1939-04,east-scotland,9.37066
1939-05,east-scotland,13.55141
1939-06,east-scotland,17.24457
1939-07,east-scotland,16.42002
1939-08,east-scotland,17.55665
1939-09,east-scotland,15.20484
1939-10,east-scotland,9.44416
1939-11,east-scotland,7.94628
1939-12,east-scotland,4.28941
1940-01,east-scotland,0.98774
1940-02,east-scotland,3.16849
1940-03,east-scotland,6.82723
1940-04,east-scotland,8.8815
1940-05,east-scotland,14.82131
1940-06,east-scotland,19.54055
1940-07,east-scotland,16.00971
1940-08,east-scotland,16.75908
1940-09,east-scotland,13.54447
1940-10,east-scotland,10.10507
1940-11,east-scotland,7.10926
1940-12,east-scotland,5.01247
1941-01,east-scotland,0.68397
1941-02,east-scotland,3.08165
1941-03,east-scotland,5.14571
1941-04,east-scotland,7.24717
1941-05,east-scotland,11.56571
1941-06,east-scotland,16.41975
1941-07,east-scotland,17.87168
1941-08,east-scotland,15.98513
1941-09,east-scotland,16.09152
1941-10,east-scotland,10.99757
1941-11,east-scotland,7.23088
1941-12,east-scotland,6.51347
1942-01,east-scotland,2.13008
1942-02,east-scotland,2.16747
1942-03,east-scotland,5.45128
1942-04,east-scotland,10.85967
1942-05,east-scotland,12.93168
1942-06,east-scotland,15.6505
1942-07,east-scotland,17.14964
1942-08,east-scotland,16.7834
1942-09,east-scotland,14.09753
1942-10,east-scotland,10.77007
1942-11,east-scotland,6.99365
1942-12,east-scotland,7.10496
1943-01,east-scotland,4.31856
1943-02,east-scotland,7.41752
1943-03,east-scotland,8.32919
1943-04,east-scotland,11.53533
1943-05,east-scotland,13.11805
1943-06,east-scotland,15.91735
1943-07,east-scotland,17.32615
1943-08,east-scotland,15.2753
1943-09,east-scotland,13.92653
1943-10,east-scotland,11.59933
1943-11,east-scotland,6.82417
1943-12,east-scotland,4.95488
1944-01,east-scotland,6.44966
1944-02,east-scotland,4.88567
1944-03,east-scotland,7.13048
1944-04,east-scotland,11.07328
1944-05,east-scotland,12.08199
1944-06,east-scotland,14.91421
1944-07,east-scotland,16.8624
1944-08,east-scotland,17.52523
1944-09,east-scotland,13.28985
1944-10,east-scotland,9.85643
1944-11,east-scotland,5.64366
1944-12,east-scotland,4.60793
1945-01,east-scotland,1.41276
1945-02,east-scotland,7.14277
1945-03,east-scotland,9.92686
1945-04,east-scotland,11.07399
1945-05,east-scotland,12.92455
1945-06,east-scotland,15.74028
1945-07,east-scotland,18.33624
1945-08,east-scotland,17.31305
1945-09,east-scotland,15.55938
1945-10,east-scotland,12.92314
1945-11,east-scotland,8.19642
1945-12,east-scotland,5.79051
1946-01,east-scotland,4.10731
1946-02,east-scotland,5.9718
1946-03,east-scotland,6.96391
1946-04,east-scotland,11.91325
1946-05,east-scotland,12.88213
1946-06,east-scotland,15.13582
1946-07,east-scotland,17.26807
1946-08,east-scotland,15.81425
1946-09,east-scotland,14.23332
1946-10,east-scotland,9.87894
1946-11,east-scotland,7.86557
1946-12,east-scotland,4.14464
1947-01,east-scotland,3.25234
1947-02,east-scotland,-0.45531
1947-03,east-scotland,2.67657
1947-04,east-scotland,9.16317
1947-05,east-scotland,13.39771
1947-06,east-scotland,15.61351
1947-07,east-scotland,17.62877
1947-08,east-scotland,20.66206
1947-09,east-scotland,15.20371
1947-10,east-scotland,12.00325
1947-11,east-scotland,7.11261
1947-12,east-scotland,5.29819
1948-01,east-scotland,3.60254
1948-02,east-scotland,5.18298
1948-03,east-scotland,10.04224
1948-04,east-scotland,10.62421
1948-05,east-scotland,13.33182
1948-06,east-scotland,14.74508
1948-07,east-scotland,17.17664
1948-08,east-scotland,15.0538
1948-09,east-scotland,14.28047
1948-10,east-scotland,10.56272
1948-11,east-scotland,8.54531
1948-12,east-scotland,6.08677
1949-01,east-scotland,6.13287
1949-02,east-scotland,6.6798
1949-03,east-scotland,6.47582
1949-04,east-scotland,11.13675
1949-05,east-scotland,13.40873
1949-06,east-scotland,16.59562
1949-07,east-scotland,18.14443
1949-08,east-scotland,17.44715
1949-09,east-scotland,16.46035
1949-10,east-scotland,12.03133
1949-11,east-scotland,7.30991
1949-12,east-scotland,5.43333
1950-01,east-scotland,5.09966
1950-02,east-scotland,4.65056
1950-03,east-scotland,8.91797
1950-04,east-scotland,8.53715
1950-05,east-scotland,12.52326
1950-06,east-scotland,17.66624
1950-07,east-scotland,17.24789
1950-08,east-scotland,16.86582
1950-09,east-scotland,13.02024
1950-10,east-scotland,10.26288
1950-11,east-scotland,5.53818
1950-12,east-scotland,1.72093
1951-01,east-scotland,3.34632
1951-02,east-scotland,3.44332
1951-03,east-scotland,4.49691
1951-04,east-scotland,7.48446
1951-05,east-scotland,11.00311
1951-06,east-scotland,15.06449
1951-07,east-scotland,17.44626
1951-08,east-scotland,15.60368
1951-09,east-scotland,14.81146
1951-10,east-scotland,11.35454
1951-11,east-scotland,8.40665
1951-12,east-scotland,5.92196
1952-01,east-scotland,2.31233
1952-02,east-scotland,4.86466
1952-03,east-scotland,6.99548
1952-04,east-scotland,11.46631
1952-05,east-scotland,14.38805
1952-06,east-scotland,14.99205
1952-07,east-scotland,17.96586
1952-08,east-scotland,16.51088
1952-09,east-scotland,11.8804
1952-10,east-scotland,9.58668
1952-11,east-scotland,4.74029
1952-12,east-scotland,3.80607
1953-01,east-scotland,5.53616
1953-02,east-scotland,6.16873
1953-03,east-scotland,9.17125
1953-04,east-scotland,8.53719
1953-05,east-scotland,14.06239
1953-06,east-scotland,15.78579
1953-07,east-scotland,16.48006
1953-08,east-scotland,17.25135
1953-09,east-scotland,15.21777
1953-10,east-scotland,11.33913
1953-11,east-scotland,8.83183
1953-12,east-scotland,6.89462
1954-01,east-scotland,4.1419
1954-02,east-scotland,3.08476
1954-03,east-scotland,5.93673
1954-04,east-scotland,10.2923
1954-05,east-scotland,12.74976
1954-06,east-scotland,14.48521
1954-07,east-scotland,15.67527
1954-08,east-scotland,15.33545
1954-09,east-scotland,13.16959
1954-10,east-scotland,11.5979
1954-11,east-scotland,7.29039
1954-12,east-scotland,6.58885
1955-01,east-scotland,2.85402
1955-02,east-scotland,1.57222
1955-03,east-scotland,4.99952
1955-04,east-scotland,12.05688
1955-05,east-scotland,11.58385
1955-06,east-scotland,15.30918
1955-07,east-scotland,20.49025
1955-08,east-scotland,19.50061
1955-09,east-scotland,15.88379
1955-10,east-scotland,10.35044
1955-11,east-scotland,8.41706
1955-12,east-scotland,5.21
1956-01,east-scotland,3.54191
1956-02,east-scotland,2.70074
1956-03,east-scotland,6.85221
1956-04,east-scotland,9.07946
1956-05,east-scotland,14.16003
1956-06,east-scotland,15.00198
1956-07,east-scotland,16.58226
1956-08,east-scotland,14.05102
1956-09,east-scotland,14.55163
1956-10,east-scotland,10.7664
