Month,Geography,Value
1884-01,east-scotland,5.60321
1884-02,east-scotland,5.2213
1884-03,east-scotland,6.66184
1884-04,east-scotland,8.92668
1884-05,east-scotland,12.56672
1884-06,east-scotland,15.81295
1884-07,east-scotland,17.15897
1884-08,east-scotland,18.01633
1884-09,east-scotland,15.01788
1884-10,east-scotland,10.51873
1884-11,east-scotland,6.20831
1884-12,east-scotland,3.96518
1885-01,east-scotland,3.08596
1885-02,east-scotland,5.35724
1885-03,east-scotland,5.96589
1885-04,east-scotland,9.34003
1885-05,east-scotland,10.20901
1885-06,east-scotland,15.84565
1885-07,east-scotland,18.01323
1885-08,east-scotland,14.92232
1885-09,east-scotland,13.31144
1885-10,east-scotland,7.52388
1885-11,east-scotland,6.21504
1885-12,east-scotland,5.04513
1886-01,east-scotland,2.31456
1886-02,east-scotland,2.30473
1886-03,east-scotland,4.41013
1886-04,east-scotland,8.74305
1886-05,east-scotland,11.06538
1886-06,east-scotland,15.21071
1886-07,east-scotland,17.54075
1886-08,east-scotland,16.65601
1886-09,east-scotland,13.8035
1886-10,east-scotland,11.08887
1886-11,east-scotland,7.38419
1886-12,east-scotland,1.88504
1887-01,east-scotland,4.36939
1887-02,east-scotland,6.26953
1887-03,east-scotland,6.23622
1887-04,east-scotland,8.82311
1887-05,east-scotland,12.7898
1887-06,east-scotland,18.89204
1887-07,east-scotland,18.95219
1887-08,east-scotland,17.26883
1887-09,east-scotland,13.44506
1887-10,east-scotland,9.21629
1887-11,east-scotland,5.37037
1887-12,east-scotland,3.69709
1888-01,east-scotland,5.07919
1888-02,east-scotland,3.02739
1888-03,east-scotland,3.6467
1888-04,east-scotland,8.24325
1888-05,east-scotland,12.61161
1888-06,east-scotland,14.47277
1888-07,east-scotland,14.64717
1888-08,east-scotland,15.27199
1888-09,east-scotland,13.9927
1888-10,east-scotland,10.39518
1888-11,east-scotland,6.97872
1888-12,east-scotland,5.91421
1889-01,east-scotland,5.78254
1889-02,east-scotland,4.14144
1889-03,east-scotland,6.11874
1889-04,east-scotland,7.71587
1889-05,east-scotland,14.60052
1889-06,east-scotland,17.92557
1889-07,east-scotland,16.66195
1889-08,east-scotland,15.81759
1889-09,east-scotland,13.6891
1889-10,east-scotland,9.35614
1889-11,east-scotland,7.90609
1889-12,east-scotland,5.4192
1890-01,east-scotland,6.46394
1890-02,east-scotland,4.61533
1890-03,east-scotland,7.55568
1890-04,east-scotland,9.5404
1890-05,east-scotland,13.46588
1890-06,east-scotland,15.20541
1890-07,east-scotland,15.7269
1890-08,east-scotland,15.78735
1890-09,east-scotland,16.65996
1890-10,east-scotland,11.17538
1890-11,east-scotland,6.68438
1890-12,east-scotland,2.55702
1891-01,east-scotland,3.60328
1891-02,east-scotland,7.93454
1891-03,east-scotland,4.917
1891-04,east-scotland,7.6884
1891-05,east-scotland,11.22349
1891-06,east-scotland,16.34226
1891-07,east-scotland,17.04302
1891-08,east-scotland,15.62629
1891-09,east-scotland,14.9536
1891-10,east-scotland,10.24219
1891-11,east-scotland,5.86821
1891-12,east-scotland,4.65181
1892-01,east-scotland,3.4196
1892-02,east-scotland,3.82361
1892-03,east-scotland,4.87773
1892-04,east-scotland,9.81676
1892-05,east-scotland,12.98472
1892-06,east-scotland,14.69577
1892-07,east-scotland,15.63689
1892-08,east-scotland,15.89622
1892-09,east-scotland,12.71042
1892-10,east-scotland,7.67902
1892-11,east-scotland,6.93686
1892-12,east-scotland,2.44822
1893-01,east-scotland,3.55852
1893-02,east-scotland,4.58626
1893-03,east-scotland,9.20586
1893-04,east-scotland,11.98522
1893-05,east-scotland,14.38439
1893-06,east-scotland,17.51744
1893-07,east-scotland,16.87396
1893-08,east-scotland,18.40479
1893-09,east-scotland,13.89101
1893-10,east-scotland,10.82048
1893-11,east-scotland,5.43878
1893-12,east-scotland,5.99236
1894-01,east-scotland,3.94879
1894-02,east-scotland,5.01998
1894-03,east-scotland,9.09483
1894-04,east-scotland,10.92552
1894-05,east-scotland,10.32314
1894-06,east-scotland,15.23478
1894-07,east-scotland,17.61925
1894-08,east-scotland,15.96636
1894-09,east-scotland,13.37042
1894-10,east-scotland,9.88195
1894-11,east-scotland,8.28563
1894-12,east-scotland,5.20627
1895-01,east-scotland,0.52713
1895-02,east-scotland,0.42449
1895-03,east-scotland,5.61068
1895-04,east-scotland,9.99821
1895-05,east-scotland,14.97549
1895-06,east-scotland,16.99009
1895-07,east-scotland,16.18366
1895-08,east-scotland,16.88209
1895-09,east-scotland,17.23389
1895-10,east-scotland,7.95867
1895-11,east-scotland,6.71783
1895-12,east-scotland,3.68233
1896-01,east-scotland,5.67092
1896-02,east-scotland,6.49011
1896-03,east-scotland,7.33272
1896-04,east-scotland,11.15759
1896-05,east-scotland,15.85705
1896-06,east-scotland,16.03319
1896-07,east-scotland,16.80506
1896-08,east-scotland,15.60039
