"Statistic","Annual","Local Government Districts","Components of Change","UNIT","VALUE"
"Components of population change - Local Government Districts","2010-2011","Belfast","Internal Outflows","Count","10823"
"Components of population change - Local Government Districts","2010-2011","Belfast","Internal Net","Count","-939"
"Components of population change - Local Government Districts","2010-2011","Belfast","United Kingdom Inflows","Count","2463"
"Components of population change - Local Government Districts","2010-2011","Belfast","United Kingdom Outflows","Count","2462"
"Components of population change - Local Government Districts","2010-2011","Belfast","United Kingdom Net","Count","1"
"Components of population change - Local Government Districts","2010-2011","Belfast","Rest of world Inflows","Count","4082"
"Components of population change - Local Government Districts","2010-2011","Belfast","Rest of world Outflows","Count","5428"
"Components of population change - Local Government Districts","2010-2011","Belfast","Rest of world Net","Count","-1346"
"Components of population change - Local Government Districts","2010-2011","Belfast","Total Inflows","Count","16429"
"Components of population change - Local Government Districts","2010-2011","Belfast","Total Outflows","Count","18713"
"Components of population change - Local Government Districts","2010-2011","Belfast","Total Net","Count","-2284"
"Components of population change - Local Government Districts","2010-2011","Belfast","Other changes","Count","866"
"Components of population change - Local Government Districts","2010-2011","Belfast","Migration and other changes","Count","-1418"
"Components of population change - Local Government Districts","2010-2011","Belfast","End population","Count","333895"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Starting population","Count","140107"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Births","Count","1788"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Deaths","Count","1131"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Natural Change","Count","657"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Internal Inflows","Count","3128"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Internal Outflows","Count","3034"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Internal Net","Count","94"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","United Kingdom Inflows","Count","836"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","United Kingdom Outflows","Count","878"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","United Kingdom Net","Count","-42"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Rest of world Inflows","Count","738"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Rest of world Outflows","Count","805"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Rest of world Net","Count","-67"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Total Inflows","Count","4702"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Total Outflows","Count","4717"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Total Net","Count","-15"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Other changes","Count","158"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","Migration and other changes","Count","143"
"Components of population change - Local Government Districts","2010-2011","Causeway Coast and Glens","End population","Count","140907"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Starting population","Count","148148"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Births","Count","2195"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Deaths","Count","997"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Natural Change","Count","1198"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Internal Inflows","Count","1743"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Internal Outflows","Count","1886"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Internal Net","Count","-143"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","United Kingdom Inflows","Count","786"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","United Kingdom Outflows","Count","1006"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","United Kingdom Net","Count","-220"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Rest of world Inflows","Count","672"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Rest of world Outflows","Count","1134"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Rest of world Net","Count","-462"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Total Inflows","Count","3201"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Total Outflows","Count","4026"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Total Net","Count","-825"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Other changes","Count","-330"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","Migration and other changes","Count","-1155"
"Components of population change - Local Government Districts","2010-2011","Derry City and Strabane","End population","Count","148191"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Starting population","Count","112919"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Births","Count","1560"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Deaths","Count","812"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Natural Change","Count","748"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Internal Inflows","Count","1724"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Internal Outflows","Count","1718"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Internal Net","Count","6"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","United Kingdom Inflows","Count","723"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","United Kingdom Outflows","Count","809"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","United Kingdom Net","Count","-86"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Rest of world Inflows","Count","738"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Rest of world Outflows","Count","603"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Rest of world Net","Count","135"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Total Inflows","Count","3185"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Total Outflows","Count","3130"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Total Net","Count","55"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Other changes","Count","-221"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","Migration and other changes","Count","-166"
"Components of population change - Local Government Districts","2010-2011","Fermanagh and Omagh","End population","Count","113501"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Starting population","Count","133909"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Births","Count","1844"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Deaths","Count","1029"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Natural Change","Count","815"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Internal Inflows","Count","4193"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Internal Outflows","Count","3531"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Internal Net","Count","662"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","United Kingdom Inflows","Count","876"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","United Kingdom Outflows","Count","910"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","United Kingdom Net","Count","-34"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Rest of world Inflows","Count","647"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Rest of world Outflows","Count","703"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Rest of world Net","Count","-56"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Total Inflows","Count","5716"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Total Outflows","Count","5144"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Total Net","Count","572"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Other changes","Count","-16"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","Migration and other changes","Count","556"
"Components of population change - Local Government Districts","2010-2011","Lisburn and Castlereagh","End population","Count","135280"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Starting population","Count","135157"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Births","Count","1637"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Deaths","Count","1136"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Natural Change","Count","501"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Internal Inflows","Count","2239"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Internal Outflows","Count","2415"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Internal Net","Count","-176"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","United Kingdom Inflows","Count","606"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","United Kingdom Outflows","Count","758"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","United Kingdom Net","Count","-152"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Rest of world Inflows","Count","709"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Rest of world Outflows","Count","621"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Rest of world Net","Count","88"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Total Inflows","Count","3554"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Total Outflows","Count","3794"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Total Net","Count","-240"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Other changes","Count","-53"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","Migration and other changes","Count","-293"
"Components of population change - Local Government Districts","2010-2011","Mid and East Antrim","End population","Count","135365"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Starting population","Count","137221"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Births","Count","2163"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Deaths","Count","956"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Natural Change","Count","1207"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Internal Inflows","Count","2372"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Internal Outflows","Count","2308"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Internal Net","Count","64"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","United Kingdom Inflows","Count","500"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","United Kingdom Outflows","Count","509"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","United Kingdom Net","Count","-9"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Rest of world Inflows","Count","1597"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Rest of world Outflows","Count","1151"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Rest of world Net","Count","446"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Total Inflows","Count","4469"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Total Outflows","Count","3968"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Total Net","Count","501"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Other changes","Count","82"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","Migration and other changes","Count","583"
"Components of population change - Local Government Districts","2010-2011","Mid Ulster","End population","Count","139011"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Starting population","Count","171119"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Births","Count","2555"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Deaths","Count","1179"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Natural Change","Count","1376"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Internal Inflows","Count","2497"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Internal Outflows","Count","2737"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Internal Net","Count","-240"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","United Kingdom Inflows","Count","923"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","United Kingdom Outflows","Count","916"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","United Kingdom Net","Count","7"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Rest of world Inflows","Count","1154"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Rest of world Outflows","Count","853"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Rest of world Net","Count","301"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Total Inflows","Count","4574"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Total Outflows","Count","4506"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Total Net","Count","68"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Other changes","Count","-287"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","Migration and other changes","Count","-219"
"Components of population change - Local Government Districts","2010-2011","Newry, Mourne and Down","End population","Count","172276"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Starting population","Count","156518"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Births","Count","1835"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Deaths","Count","1409"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Natural Change","Count","426"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Internal Inflows","Count","2416"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Internal Outflows","Count","2183"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Internal Net","Count","233"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","United Kingdom Inflows","Count","1161"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","United Kingdom Outflows","Count","1112"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","United Kingdom Net","Count","49"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Rest of world Inflows","Count","556"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Rest of world Outflows","Count","680"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Rest of world Net","Count","-124"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Total Inflows","Count","4133"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Total Outflows","Count","3975"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Total Net","Count","158"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Other changes","Count","-159"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","Migration and other changes","Count","-1"
"Components of population change - Local Government Districts","2010-2011","Ards and North Down","End population","Count","156943"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Starting population","Count","138651"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Births","Count","1884"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Deaths","Count","1042"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Natural Change","Count","842"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Internal Inflows","Count","4186"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Internal Outflows","Count","4202"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Internal Net","Count","-16"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","United Kingdom Inflows","Count","659"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","United Kingdom Outflows","Count","797"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","United Kingdom Net","Count","-138"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Rest of world Inflows","Count","742"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Rest of world Outflows","Count","822"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Rest of world Net","Count","-80"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Total Inflows","Count","5587"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Total Outflows","Count","5821"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Total Net","Count","-234"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Other changes","Count","-102"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","Migration and other changes","Count","-336"
"Components of population change - Local Government Districts","2011-2012","Antrim and Newtownabbey","End population","Count","139157"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Starting population","Count","200298"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Births","Count","3083"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Deaths","Count","1410"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Natural Change","Count","1673"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Internal Inflows","Count","3424"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Internal Outflows","Count","3550"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Internal Net","Count","-126"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","United Kingdom Inflows","Count","970"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","United Kingdom Outflows","Count","1108"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","United Kingdom Net","Count","-138"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Rest of world Inflows","Count","1635"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Rest of world Outflows","Count","945"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Rest of world Net","Count","690"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Total Inflows","Count","6029"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Total Outflows","Count","5603"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Total Net","Count","426"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Other changes","Count","1"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","Migration and other changes","Count","427"
"Components of population change - Local Government Districts","2011-2012","Armagh City, Banbridge and Craigavon","End population","Count","202398"
"Components of population change - Local Government Districts","2011-2012","Belfast","Starting population","Count","333895"
"Components of population change - Local Government Districts","2011-2012","Belfast","Births","Count","4983"
"Components of population change - Local Government Districts","2011-2012","Belfast","Deaths","Count","3124"
"Components of population change - Local Government Districts","2011-2012","Belfast","Natural Change","Count","1859"
"Components of population change - Local Government Districts","2011-2012","Belfast","Internal Inflows","Count","11140"
"Components of population change - Local Government Districts","2011-2012","Belfast","Internal Outflows","Count","12263"
"Components of population change - Local Government Districts","2011-2012","Belfast","Internal Net","Count","-1123"
"Components of population change - Local Government Districts","2011-2012","Belfast","United Kingdom Inflows","Count","2383"
"Components of population change - Local Government Districts","2011-2012","Belfast","United Kingdom Outflows","Count","2601"
"Components of population change - Local Government Districts","2011-2012","Belfast","United Kingdom Net","Count","-218"
"Components of population change - Local Government Districts","2011-2012","Belfast","Rest of world Inflows","Count","4107"
"Components of population change - Local Government Districts","2011-2012","Belfast","Rest of world Outflows","Count","4606"
"Components of population change - Local Government Districts","2011-2012","Belfast","Rest of world Net","Count","-499"
"Components of population change - Local Government Districts","2011-2012","Belfast","Total Inflows","Count","17630"
"Components of population change - Local Government Districts","2011-2012","Belfast","Total Outflows","Count","19470"
"Components of population change - Local Government Districts","2011-2012","Belfast","Total Net","Count","-1840"
"Components of population change - Local Government Districts","2011-2012","Belfast","Other changes","Count","48"
"Components of population change - Local Government Districts","2011-2012","Belfast","Migration and other changes","Count","-1792"
"Components of population change - Local Government Districts","2011-2012","Belfast","End population","Count","333962"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Starting population","Count","140907"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Births","Count","1724"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Deaths","Count","1061"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Natural Change","Count","663"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Internal Inflows","Count","3191"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Internal Outflows","Count","3203"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Internal Net","Count","-12"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","United Kingdom Inflows","Count","774"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","United Kingdom Outflows","Count","827"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","United Kingdom Net","Count","-53"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Rest of world Inflows","Count","682"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Rest of world Outflows","Count","753"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Rest of world Net","Count","-71"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Total Inflows","Count","4647"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Total Outflows","Count","4783"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Total Net","Count","-136"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Other changes","Count","0"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","Migration and other changes","Count","-136"
"Components of population change - Local Government Districts","2011-2012","Causeway Coast and Glens","End population","Count","141434"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Starting population","Count","148191"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Births","Count","2190"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Deaths","Count","1084"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Natural Change","Count","1106"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Internal Inflows","Count","1967"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Internal Outflows","Count","2079"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Internal Net","Count","-112"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","United Kingdom Inflows","Count","825"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","United Kingdom Outflows","Count","1080"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","United Kingdom Net","Count","-255"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Rest of world Inflows","Count","737"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Rest of world Outflows","Count","1048"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Rest of world Net","Count","-311"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Total Inflows","Count","3529"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Total Outflows","Count","4207"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Total Net","Count","-678"
"Components of population change - Local Government Districts","2011-2012","Derry City and Strabane","Other changes","Count","0"
