"Statistic","Annual","Local Government Districts","Components of Change","UNIT","VALUE"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Starting population","Count","138044"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Births","Count","1887"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Deaths","Count","1080"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Natural Change","Count","807"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Internal Inflows","Count","3640"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Internal Outflows","Count","3453"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Internal Net","Count","187"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","United Kingdom Inflows","Count","623"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","United Kingdom Outflows","Count","726"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","United Kingdom Net","Count","-103"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Rest of world Inflows","Count","904"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Rest of world Outflows","Count","1130"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Rest of world Net","Count","-226"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Total Inflows","Count","5167"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Total Outflows","Count","5309"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Total Net","Count","-142"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Other changes","Count","-58"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","Migration and other changes","Count","-200"
"Components of population change - Local Government Districts","2010-2011","Antrim and Newtownabbey","End population","Count","138651"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Starting population","Count","198202"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Births","Count","3133"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Deaths","Count","1452"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Natural Change","Count","1681"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Internal Inflows","Count","3322"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Internal Outflows","Count","3070"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Internal Net","Count","252"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","United Kingdom Inflows","Count","826"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","United Kingdom Outflows","Count","1035"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","United Kingdom Net","Count","-209"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Rest of world Inflows","Count","1604"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Rest of world Outflows","Count","989"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Rest of world Net","Count","615"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Total Inflows","Count","5752"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Total Outflows","Count","5094"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Total Net","Count","658"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Other changes","Count","-243"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","Migration and other changes","Count","415"
"Components of population change - Local Government Districts","2010-2011","Armagh City, Banbridge and Craigavon","End population","Count","200298"
"Components of population change - Local Government Districts","2010-2011","Belfast","Starting population","Count","333489"
"Components of population change - Local Government Districts","2010-2011","Belfast","Births","Count","4827"
"Components of population change - Local Government Districts","2010-2011","Belfast","Deaths","Count","3003"
"Components of population change - Local Government Districts","2010-2011","Belfast","Natural Change","Count","1824"
"Components of population change - Local Government Districts","2010-2011","Belfast","Internal Inflows","Count","9884"
