Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
absent-friend,Absent Friend,absent-friend,,0,
alla-andra-far-varann,Alla andra får varann,alla-andra-far-varann,,1,
april-april,"April,april",april-april,,2,
augustin,Augustin,augustin,,3,
bara-hon-alskar-mig,Bara hon älskar mig,bara-hon-alskar-mig,,4,
beatles,Beatles,beatles,,5,
boogaloo,Boogaloo,boogaloo,,6,
bra-vibrationer,Bra vibrationer,bra-vibrationer,,7,
dag-efter-dag,Dag efter dag,dag-efter-dag,,8,
dance-you-off,Dance You Off,dance-you-off,,9,
den-vilda,Den vilda,den-vilda,,10,
det-blir-alltid-varre-framat-natten,Det blir alltid värre framåt natten,det-blir-alltid-varre-framat-natten,,11,
det-borjar-verka-karlek-banne-mig,"Det börjar verka kärlek,banne mig",det-borjar-verka-karlek-banne-mig,,12,
diggi-loo-diggi-ley,Diggi-Loo Diggi-Ley,diggi-loo-diggi-ley,,13,
e-de-det-har-du-kallar-karlek,E' de' det här du kallar kärlek?,e-de-det-har-du-kallar-karlek,,14,
eloise,Eloise,eloise,,15,
en-dag,En dag,en-dag,,16,
en-gang-i-stockholm,En gång i Stockholm,en-gang-i-stockholm,,17,
euphoria,Euphoria,euphoria,,18,
framling,Främling,framling,,19,
fangad-av-en-stormvind,Fångad av en stormvind,fangad-av-en-stormvind,,20,
fangad-i-en-drom,Fångad i en dröm,fangad-i-en-drom,,21,
give-me-your-love,Give Me Your Love,give-me-your-love,,22,
hero,Hero,hero,,23,
heroes,Heroes,heroes,,24,
hold-me-closer,Hold Me Closer,hold-me-closer,,25,
harliga-sommardag,Härliga sommardag,harliga-sommardag,,26,
i-can-t-go-on,I Can't Go On,i-can-t-go-on,,27,
i-morgon-ar-en-annan-dag,I morgon är en annan dag,i-morgon-ar-en-annan-dag,,28,
if-i-were-sorry,If I Were Sorry,if-i-were-sorry,,29,
invincible,Invincible,invincible,,30,
it-hurts,It Hurts,it-hurts,,31,
jennie-jennie,"Jennie,Jennie",jennie-jennie,,32,
judy-min-van,"Judy,min vän",judy-min-van,,33,
just-nu,Just nu!,just-nu,,34,
karleken-ar,Kärleken är,karleken-ar,,35,
la-voix,La voix,la-voix,,36,
las-vegas,Las Vegas,las-vegas,,37,
lilla-stjarna,Lilla stjärna,lilla-stjarna,,38,
listen-to-your-heartbeat,Listen to Your Heartbeat,listen-to-your-heartbeat,,39,
move,Move,move,,40,
never-let-it-go,Never Let It Go,never-let-it-go,,41,
nygammal-vals,Nygammal vals,nygammal-vals,,42,
popular,Popular,popular,,43,
satellit,Satellit,satellit,,44,
se-pa-mej,Se på mej,se-pa-mej,,45,
sol-och-var,Sol och vår,sol-och-var,,46,
som-en-drom,Som en dröm,som-en-drom,,47,
som-en-vind,Som en vind,som-en-vind,,48,
stad-i-ljus,Stad i ljus,stad-i-ljus,,49,
stjarnorna,Stjärnorna,stjarnorna,,50,
take-me-to-your-heaven,Take Me to Your Heaven,take-me-to-your-heaven,,51,
tattoo,Tattoo,tattoo,,52,
the-worrying-kind,The Worrying Kind,the-worrying-kind,,53,
this-is-my-life,This Is My Life,this-is-my-life,,54,
too-late-for-love,Too Late for Love,too-late-for-love,,55,
undo,Undo,undo,,56,
unforgettable,Unforgettable,unforgettable,,57,
vita-vidder,Vita vidder,vita-vidder,,58,
voices,Voices,voices,,59,
waterloo,Waterloo,waterloo,,60,
when-spirits-are-calling-my-name,When Spirits Are Calling My Name,when-spirits-are-calling-my-name,,61,
you,You,you,,62,
you-re-summer,You're Summer,you-re-summer,,63,
