Uri Identifier,Label,Notation,Parent Uri Identifier,Sort Priority,Description
abba,ABBA,abba,,0,
afro-dite,Afro-dite,afro-dite,,1,
alice-babs,Alice Babs,alice-babs,,2,
anna-bergendahl,Anna Bergendahl,anna-bergendahl,,3,
arvingarna,Arvingarna,arvingarna,,4,
benjamin-ingrosso,Benjamin Ingrosso,benjamin-ingrosso,,5,
bjorn-skifs,Björn Skifs,bjorn-skifs,,6,
blond,Blond,blond,,7,
brita-borg,Brita Borg,brita-borg,,8,
carola,Carola,carola,,9,
charlotte-nilsson,Charlotte Nilsson,charlotte-nilsson,,10,
charlotte-perrelli,Charlotte Perrelli,charlotte-perrelli,,11,
chips,Chips,chips,,12,
christer-bjorkman,Christer Björkman,christer-bjorkman,,13,
claes-goran-hederstrom,Claes-Göran Hederström,claes-goran-hederstrom,,14,
cornelia-jakobs,Cornelia Jakobs,cornelia-jakobs,,15,
edin-adahl,Edin-Ådahl,edin-adahl,,16,
eric-saade,Eric Saade,eric-saade,,17,
fame,Fame,fame,,18,
family-four,Family Four,family-four,,19,
forbes,Forbes,forbes,,20,
frans,Frans,frans,,21,
friends,Friends,friends,,22,
herreys,Herreys,herreys,,23,
inger-berggren,Inger Berggren,inger-berggren,,24,
ingvar-wixell,Ingvar Wixell,ingvar-wixell,,25,
jan-johansen,Jan Johansen,jan-johansen,,26,
jill-johnson,Jill Johnson,jill-johnson,,27,
john-lundvik,John Lundvik,john-lundvik,,28,
kikki-danielsson,Kikki Danielsson,kikki-danielsson,,29,
lars-berghagen-and-the-dolls,Lars Berghagen and the Dolls,lars-berghagen-and-the-dolls,,30,
lena-philipsson,Lena Philipsson,lena-philipsson,,31,
lill-lindfors-and-svante-thuresson,Lill Lindfors and Svante Thuresson,lill-lindfors-and-svante-thuresson,,32,
lill-babs,Lill-Babs,lill-babs,,33,
loreen,Loreen,loreen,,34,
lotta-engberg,Lotta Engberg,lotta-engberg,,35,
malena-ernman,Malena Ernman,malena-ernman,,36,
marcus-martinus,Marcus & Martinus,marcus-martinus,,37,
marie-bergman-and-roger-pontare,Marie Bergman and Roger Pontare,marie-bergman-and-roger-pontare,,38,
martin-stenmarck,Martin Stenmarck,martin-stenmarck,,39,
monica-tornell-and-lasse-holm,Monica Törnell and Lasse Holm,monica-tornell-and-lasse-holm,,40,
monica-zetterlund,Monica Zetterlund,monica-zetterlund,,41,
mans-zelmerlow,Måns Zelmerlöw,mans-zelmerlow,,42,
one-more-time,One More Time,one-more-time,,43,
robin-bengtsson,Robin Bengtsson,robin-bengtsson,,44,
robin-stjernberg,Robin Stjernberg,robin-stjernberg,,45,
roger-pontare,Roger Pontare,roger-pontare,,46,
sanna-nielsen,Sanna Nielsen,sanna-nielsen,,47,
siw-malmkvist,Siw Malmkvist,siw-malmkvist,,48,
ted-gardestad,Ted Gärdestad,ted-gardestad,,49,
the-ark,The Ark,the-ark,,50,
the-mamas,The Mamas,the-mamas,,51,
the-nova-and-the-dolls,The Nova and the Dolls,the-nova-and-the-dolls,,52,
tomas-ledin,Tomas Ledin,tomas-ledin,,53,
tommy-korberg,Tommy Körberg,tommy-korberg,,54,
tommy-nilsson,Tommy Nilsson,tommy-nilsson,,55,
tusse,Tusse,tusse,,56,
osten-warnerbring,Östen Warnerbring,osten-warnerbring,,57,
