Label,Notation,Parent Notation,Sort Priority,Description
Antrim and Newtownabbey,antrim-and-newtownabbey,,0,
Ards and North Down,ards-and-north-down,,1,
"Armagh City, Banbridge and Craigavon",armagh-city-banbridge-and-craigavon,,2,
Belfast,belfast,,3,
Causeway Coast and Glens,causeway-coast-and-glens,,4,
Derry City and Strabane,derry-city-and-strabane,,5,
Fermanagh and Omagh,fermanagh-and-omagh,,6,
Lisburn and Castlereagh,lisburn-and-castlereagh,,7,
Mid Ulster,mid-ulster,,8,
Mid and East Antrim,mid-and-east-antrim,,9,
"Newry, Mourne and Down",newry-mourne-and-down,,10,
